"timeMillisSpent","score"
14,"-7hard/-21499soft"
35,"-5hard/-23782soft"
57,"0hard/-23119soft"
88,"0hard/-23054soft"
119,"0hard/-22569soft"
152,"0hard/-22442soft"
194,"0hard/-22361soft"
236,"0hard/-22156soft"
270,"0hard/-21940soft"
302,"0hard/-21848soft"
337,"0hard/-21833soft"
369,"0hard/-21098soft"
405,"0hard/-20214soft"
436,"0hard/-20039soft"
467,"0hard/-19864soft"
495,"0hard/-19785soft"
525,"0hard/-19744soft"
553,"0hard/-19707soft"
580,"0hard/-19653soft"
615,"0hard/-19375soft"
721,"0hard/-19365soft"
756,"0hard/-19337soft"
788,"0hard/-19333soft"
820,"0hard/-19231soft"
850,"0hard/-19176soft"
908,"0hard/-19152soft"
961,"0hard/-19117soft"
1012,"0hard/-18851soft"
