"timeMillisSpent","score"
525,"-142hard/-46606soft"
541,"-136hard/-52581soft"
544,"-115hard/-60368soft"
600,"-108hard/-88990soft"
602,"-107hard/-89166soft"
663,"-86hard/-106398soft"
696,"-85hard/-110176soft"
701,"-83hard/-111198soft"
711,"-75hard/-112884soft"
744,"-75hard/-110787soft"
749,"-75hard/-108596soft"
750,"-61hard/-115004soft"
751,"-59hard/-115448soft"
777,"-58hard/-117185soft"
778,"-58hard/-116847soft"
787,"-57hard/-119027soft"
790,"-56hard/-120714soft"
791,"-55hard/-121840soft"
797,"-55hard/-118676soft"
797,"-53hard/-119389soft"
800,"-53hard/-119316soft"
801,"-52hard/-119596soft"
820,"-51hard/-116491soft"
823,"-51hard/-115895soft"
828,"-48hard/-116447soft"
829,"-46hard/-116425soft"
850,"-46hard/-113440soft"
863,"-45hard/-116076soft"
864,"-45hard/-115011soft"
866,"-44hard/-114824soft"
878,"-44hard/-114451soft"
880,"-44hard/-114416soft"
887,"-44hard/-113949soft"
888,"-44hard/-113679soft"
889,"-44hard/-113282soft"
890,"-44hard/-113175soft"
892,"-44hard/-112731soft"
892,"-43hard/-112008soft"
897,"-42hard/-111488soft"
897,"-42hard/-111321soft"
898,"-42hard/-110834soft"
901,"-41hard/-110493soft"
913,"-38hard/-110556soft"
913,"-37hard/-109909soft"
915,"-37hard/-108743soft"
935,"-34hard/-105278soft"
957,"-33hard/-108912soft"
959,"-32hard/-109958soft"
971,"-32hard/-106662soft"
971,"-32hard/-106191soft"
978,"-31hard/-105395soft"
994,"-30hard/-106586soft"
997,"-29hard/-106076soft"
1020,"-28hard/-107282soft"
1022,"-26hard/-107331soft"
1023,"-26hard/-106178soft"
1033,"-26hard/-105651soft"
1093,"-26hard/-102703soft"
1096,"-26hard/-102491soft"
1099,"-25hard/-101918soft"
1108,"-25hard/-101871soft"
1109,"-24hard/-102325soft"
1121,"-23hard/-103562soft"
1123,"-23hard/-103556soft"
1123,"-22hard/-103556soft"
1135,"-22hard/-102133soft"
1163,"-21hard/-101618soft"
1164,"-21hard/-101611soft"
1165,"-21hard/-101256soft"
1180,"-21hard/-100698soft"
1181,"-20hard/-100457soft"
1194,"-18hard/-98520soft"
1194,"-18hard/-98450soft"
1281,"-18hard/-96967soft"
1296,"-17hard/-99204soft"
1318,"-16hard/-98925soft"
1348,"-15hard/-95614soft"
1361,"-15hard/-95494soft"
1364,"-14hard/-94710soft"
1413,"-14hard/-94646soft"
1419,"-13hard/-94179soft"
1453,"-11hard/-95083soft"
1477,"-11hard/-94979soft"
1478,"-11hard/-94867soft"
1492,"-10hard/-95176soft"
1492,"-10hard/-94815soft"
1529,"-10hard/-94045soft"
1569,"-10hard/-93849soft"
1570,"-10hard/-93475soft"
1570,"-10hard/-93433soft"
1585,"-10hard/-92878soft"
1597,"-9hard/-92134soft"
1602,"-9hard/-91933soft"
1625,"-9hard/-91753soft"
1630,"-7hard/-93113soft"
1649,"-6hard/-93559soft"
1667,"-5hard/-94527soft"
1709,"-5hard/-93756soft"
1710,"-5hard/-93248soft"
1727,"-5hard/-92380soft"
1729,"-1hard/-91223soft"
1782,"-1hard/-89415soft"
1783,"-1hard/-89366soft"
1883,"-1hard/-88961soft"
1900,"-1hard/-88887soft"
1900,"-1hard/-88525soft"
1909,"-1hard/-87533soft"
1911,"-1hard/-87520soft"
1911,"-1hard/-87441soft"
1915,"-1hard/-86611soft"
1918,"-1hard/-86398soft"
1919,"-1hard/-86348soft"
1919,"-1hard/-86330soft"
1927,"-1hard/-86187soft"
1927,"0hard/-85886soft"
1928,"0hard/-85673soft"
2303,"0hard/-85538soft"
2326,"0hard/-85531soft"
2330,"0hard/-85505soft"
2349,"0hard/-84877soft"
2350,"0hard/-84823soft"
2410,"0hard/-84610soft"
2410,"0hard/-84580soft"
2413,"0hard/-84204soft"
2469,"0hard/-83875soft"
2516,"0hard/-83789soft"
2520,"0hard/-83777soft"
2555,"0hard/-83442soft"
2559,"0hard/-83385soft"
2570,"0hard/-83104soft"
2574,"0hard/-82960soft"
2576,"0hard/-82953soft"
2581,"0hard/-82846soft"
2589,"0hard/-82359soft"
2600,"0hard/-82291soft"
2622,"0hard/-82141soft"
2642,"0hard/-82079soft"
2656,"0hard/-82065soft"
2672,"0hard/-82029soft"
2706,"0hard/-81164soft"
2749,"0hard/-81076soft"
2751,"0hard/-81032soft"
2788,"0hard/-80935soft"
2816,"0hard/-80466soft"
2827,"0hard/-80457soft"
2870,"0hard/-80314soft"
2880,"0hard/-80195soft"
2916,"0hard/-79491soft"
2928,"0hard/-79226soft"
2938,"0hard/-79045soft"
2939,"0hard/-79036soft"
2939,"0hard/-78612soft"
2940,"0hard/-78591soft"
3039,"0hard/-78515soft"
3040,"0hard/-78510soft"
3082,"0hard/-78265soft"
3103,"0hard/-78007soft"
3134,"0hard/-77968soft"
3135,"0hard/-77806soft"
3136,"0hard/-77334soft"
3178,"0hard/-76942soft"
3181,"0hard/-76527soft"
3251,"0hard/-76494soft"
3260,"0hard/-76027soft"
3310,"0hard/-75983soft"
3313,"0hard/-75784soft"
3326,"0hard/-75742soft"
3327,"0hard/-75669soft"
3339,"0hard/-75600soft"
3345,"0hard/-74806soft"
3418,"0hard/-74599soft"
3425,"0hard/-74468soft"
3455,"0hard/-74050soft"
3502,"0hard/-73992soft"
3515,"0hard/-73757soft"
3518,"0hard/-73585soft"
3519,"0hard/-73394soft"
3520,"0hard/-73235soft"
3571,"0hard/-73181soft"
3576,"0hard/-73131soft"
3577,"0hard/-73004soft"
3590,"0hard/-72948soft"
3591,"0hard/-72884soft"
3592,"0hard/-72665soft"
3614,"0hard/-72522soft"
3615,"0hard/-72305soft"
3711,"0hard/-72270soft"
3713,"0hard/-71782soft"
3735,"0hard/-71248soft"
3783,"0hard/-71213soft"
3786,"0hard/-71038soft"
3786,"0hard/-70927soft"
3794,"0hard/-70884soft"
3815,"0hard/-70399soft"
3908,"0hard/-70158soft"
3934,"0hard/-70039soft"
3946,"0hard/-69905soft"
4210,"0hard/-69769soft"
4211,"0hard/-69658soft"
4301,"0hard/-69630soft"
4317,"0hard/-69421soft"
4354,"0hard/-69323soft"
4379,"0hard/-69115soft"
4430,"0hard/-69023soft"
4435,"0hard/-68905soft"
4435,"0hard/-68657soft"
4440,"0hard/-68573soft"
4538,"0hard/-68499soft"
4547,"0hard/-68272soft"
4583,"0hard/-68140soft"
4584,"0hard/-68112soft"
4586,"0hard/-68040soft"
4603,"0hard/-67871soft"
4810,"0hard/-67856soft"
4815,"0hard/-67844soft"
4839,"0hard/-67718soft"
4904,"0hard/-67485soft"
4944,"0hard/-67368soft"
