"timeMillisSpent","score"
16,"-7hard/-21499soft"
29,"-5hard/-23782soft"
42,"0hard/-24102soft"
62,"0hard/-22862soft"
86,"0hard/-22706soft"
106,"0hard/-22619soft"
123,"0hard/-22470soft"
152,"0hard/-22416soft"
168,"0hard/-21864soft"
186,"0hard/-21856soft"
203,"0hard/-21813soft"
220,"0hard/-21573soft"
237,"0hard/-21486soft"
256,"0hard/-20407soft"
270,"0hard/-20135soft"
287,"0hard/-19960soft"
303,"0hard/-19882soft"
317,"0hard/-19783soft"
346,"0hard/-19778soft"
361,"0hard/-19756soft"
388,"0hard/-19742soft"
414,"0hard/-19499soft"
445,"0hard/-19462soft"
461,"0hard/-19384soft"
505,"0hard/-19206soft"
590,"0hard/-19164soft"
763,"0hard/-19103soft"
897,"0hard/-19092soft"
959,"0hard/-19028soft"
1238,"0hard/-19027soft"
1365,"0hard/-19011soft"
1623,"0hard/-19010soft"
1780,"0hard/-18992soft"
1810,"0hard/-18883soft"
