"timeMillisSpent","score"
92,"-48hard/-32691soft"
96,"-47hard/-35527soft"
111,"-41hard/-40587soft"
121,"-22hard/-52654soft"
166,"-20hard/-54512soft"
169,"-20hard/-53188soft"
169,"-19hard/-54464soft"
175,"-19hard/-54360soft"
175,"-18hard/-54209soft"
180,"-18hard/-52160soft"
180,"-17hard/-50495soft"
181,"-16hard/-52111soft"
182,"-15hard/-49817soft"
183,"-14hard/-49249soft"
189,"-14hard/-48565soft"
190,"-12hard/-47964soft"
190,"-12hard/-47928soft"
202,"-12hard/-47302soft"
202,"-12hard/-47177soft"
203,"-11hard/-47631soft"
210,"-11hard/-47538soft"
211,"-11hard/-47271soft"
211,"-10hard/-47269soft"
215,"-10hard/-46054soft"
218,"-9hard/-47133soft"
224,"-9hard/-46881soft"
229,"-9hard/-46467soft"
230,"-8hard/-45472soft"
266,"-8hard/-44633soft"
271,"-7hard/-45620soft"
272,"-6hard/-45124soft"
272,"-6hard/-44800soft"
335,"-5hard/-47111soft"
338,"-5hard/-46264soft"
338,"-5hard/-45945soft"
386,"-5hard/-45931soft"
389,"-5hard/-45888soft"
398,"-4hard/-42241soft"
474,"-4hard/-42015soft"
485,"-3hard/-41824soft"
492,"-2hard/-41563soft"
494,"-2hard/-41327soft"
498,"0hard/-42560soft"
511,"0hard/-42008soft"
542,"0hard/-41672soft"
639,"0hard/-41547soft"
641,"0hard/-40926soft"
642,"0hard/-40774soft"
651,"0hard/-39731soft"
683,"0hard/-39508soft"
703,"0hard/-39286soft"
733,"0hard/-39242soft"
745,"0hard/-38823soft"
746,"0hard/-38745soft"
762,"0hard/-38704soft"
788,"0hard/-38663soft"
806,"0hard/-38633soft"
807,"0hard/-38507soft"
815,"0hard/-38485soft"
816,"0hard/-38348soft"
819,"0hard/-37882soft"
819,"0hard/-37869soft"
820,"0hard/-37667soft"
892,"0hard/-37570soft"
893,"0hard/-37502soft"
934,"0hard/-37169soft"
935,"0hard/-37136soft"
963,"0hard/-37096soft"
981,"0hard/-36800soft"
982,"0hard/-36654soft"
1025,"0hard/-36651soft"
1027,"0hard/-36578soft"
1050,"0hard/-36319soft"
1053,"0hard/-36298soft"
1061,"0hard/-36209soft"
1089,"0hard/-36202soft"
1091,"0hard/-36183soft"
1091,"0hard/-35967soft"
1098,"0hard/-35939soft"
1098,"0hard/-35879soft"
1163,"0hard/-35808soft"
1168,"0hard/-35647soft"
1175,"0hard/-35555soft"
1180,"0hard/-35485soft"
1206,"0hard/-35372soft"
1206,"0hard/-35295soft"
1218,"0hard/-35239soft"
1219,"0hard/-35134soft"
1221,"0hard/-35016soft"
1222,"0hard/-34908soft"
1326,"0hard/-34334soft"
1383,"0hard/-34244soft"
1384,"0hard/-34223soft"
1393,"0hard/-34202soft"
1398,"0hard/-33930soft"
1513,"0hard/-33923soft"
1521,"0hard/-33899soft"
1535,"0hard/-33879soft"
1540,"0hard/-33626soft"
1553,"0hard/-33541soft"
1559,"0hard/-33500soft"
1566,"0hard/-33479soft"
1576,"0hard/-33325soft"
1600,"0hard/-33292soft"
1609,"0hard/-33226soft"
1609,"0hard/-33209soft"
1629,"0hard/-33198soft"
1639,"0hard/-33156soft"
1652,"0hard/-33125soft"
1666,"0hard/-33102soft"
1667,"0hard/-32918soft"
1687,"0hard/-32886soft"
1726,"0hard/-32805soft"
1728,"0hard/-32801soft"
1744,"0hard/-32723soft"
1779,"0hard/-32716soft"
1800,"0hard/-32566soft"
1900,"0hard/-32537soft"
1921,"0hard/-32517soft"
1931,"0hard/-32506soft"
1932,"0hard/-32361soft"
1992,"0hard/-32359soft"
1996,"0hard/-32327soft"
2051,"0hard/-32272soft"
2057,"0hard/-32128soft"
2075,"0hard/-32068soft"
2134,"0hard/-31959soft"
2210,"0hard/-31686soft"
2292,"0hard/-31683soft"
2296,"0hard/-31662soft"
2388,"0hard/-31604soft"
2389,"0hard/-31570soft"
2441,"0hard/-31564soft"
2443,"0hard/-31453soft"
2459,"0hard/-31370soft"
2504,"0hard/-31368soft"
2513,"0hard/-31221soft"
2603,"0hard/-31179soft"
2605,"0hard/-31161soft"
2605,"0hard/-31025soft"
2887,"0hard/-30947soft"
2892,"0hard/-30924soft"
3062,"0hard/-30916soft"
3066,"0hard/-30863soft"
3109,"0hard/-30840soft"
3160,"0hard/-30738soft"
3162,"0hard/-30656soft"
3241,"0hard/-30596soft"
3341,"0hard/-30551soft"
3372,"0hard/-30494soft"
3578,"0hard/-30425soft"
3759,"0hard/-30397soft"
3916,"0hard/-30309soft"
4291,"0hard/-30256soft"
4586,"0hard/-30250soft"
4755,"0hard/-30248soft"
