"timeMillisSpent","score"
34,"-5hard/-20527soft"
65,"0hard/-23624soft"
99,"0hard/-23152soft"
130,"0hard/-22929soft"
165,"0hard/-22691soft"
204,"0hard/-22674soft"
241,"0hard/-21904soft"
291,"0hard/-20989soft"
338,"0hard/-20663soft"
407,"0hard/-20489soft"
450,"0hard/-20352soft"
539,"0hard/-20217soft"
590,"0hard/-20028soft"
655,"0hard/-19888soft"
691,"0hard/-19627soft"
730,"0hard/-19547soft"
790,"0hard/-19534soft"
1020,"0hard/-19492soft"
1063,"0hard/-19290soft"
1107,"0hard/-19231soft"
1166,"0hard/-19086soft"
1216,"0hard/-19063soft"
1304,"0hard/-18908soft"
1473,"0hard/-18905soft"
8298,"0hard/-18903soft"
8328,"0hard/-18793soft"
8357,"0hard/-18538soft"
8384,"0hard/-18442soft"
8411,"0hard/-18410soft"
