"timeMillisSpent","score"
527,"-153hard/-47159soft"
534,"-152hard/-48905soft"
535,"-150hard/-49605soft"
615,"-148hard/-92309soft"
689,"-133hard/-106302soft"
690,"-128hard/-104388soft"
690,"-128hard/-103747soft"
691,"-128hard/-102549soft"
693,"-127hard/-99635soft"
695,"-126hard/-102105soft"
821,"-124hard/-113136soft"
821,"-124hard/-111446soft"
822,"-124hard/-111298soft"
823,"-124hard/-110253soft"
932,"-122hard/-116771soft"
933,"-121hard/-119042soft"
935,"-117hard/-122682soft"
954,"-116hard/-121624soft"
958,"-113hard/-120396soft"
958,"-107hard/-119802soft"
958,"-106hard/-119361soft"
958,"-106hard/-118775soft"
984,"-101hard/-118860soft"
1096,"-99hard/-109316soft"
1136,"-98hard/-117446soft"
1137,"-90hard/-117430soft"
1235,"-85hard/-115737soft"
1238,"-83hard/-116237soft"
1506,"-81hard/-114410soft"
1656,"-80hard/-120928soft"
1656,"-79hard/-120926soft"
1657,"-78hard/-122094soft"
1657,"-78hard/-121676soft"
1658,"-78hard/-120221soft"
1658,"-75hard/-118849soft"
1658,"-73hard/-118531soft"
1658,"-73hard/-118033soft"
1660,"-71hard/-118895soft"
1694,"-69hard/-121614soft"
1694,"-67hard/-120514soft"
1695,"-66hard/-116924soft"
1696,"-64hard/-117015soft"
1796,"-63hard/-111028soft"
1796,"-62hard/-110048soft"
2085,"-61hard/-116483soft"
2103,"-60hard/-118582soft"
2104,"-59hard/-117939soft"
2104,"-57hard/-117311soft"
2105,"-57hard/-116858soft"
2105,"-57hard/-115138soft"
2106,"-55hard/-115007soft"
2202,"-54hard/-117857soft"
2227,"-53hard/-117335soft"
2290,"-53hard/-115563soft"
2291,"-52hard/-113828soft"
2309,"-52hard/-111944soft"
2412,"-50hard/-115033soft"
2412,"-50hard/-114485soft"
2436,"-48hard/-111006soft"
2437,"-46hard/-113061soft"
2624,"-46hard/-112593soft"
2680,"-45hard/-113852soft"
2680,"-44hard/-113851soft"
2683,"-43hard/-113906soft"
2793,"-43hard/-111511soft"
2796,"-43hard/-110284soft"
2796,"-42hard/-109650soft"
2922,"-41hard/-109321soft"
2922,"-40hard/-109081soft"
2922,"-40hard/-108585soft"
2923,"-40hard/-107950soft"
2923,"-39hard/-107020soft"
2923,"-39hard/-106745soft"
