"timeMillisSpent","score"
16,"-7hard/-21499soft"
37,"-5hard/-23782soft"
59,"0hard/-23119soft"
90,"0hard/-23054soft"
121,"0hard/-22569soft"
153,"0hard/-22442soft"
194,"0hard/-22361soft"
236,"0hard/-22156soft"
270,"0hard/-21940soft"
302,"0hard/-21848soft"
337,"0hard/-21833soft"
369,"0hard/-21098soft"
404,"0hard/-20214soft"
436,"0hard/-20039soft"
467,"0hard/-19864soft"
496,"0hard/-19785soft"
521,"0hard/-19744soft"
547,"0hard/-19707soft"
574,"0hard/-19653soft"
608,"0hard/-19375soft"
712,"0hard/-19365soft"
747,"0hard/-19337soft"
779,"0hard/-19333soft"
811,"0hard/-19231soft"
841,"0hard/-19176soft"
897,"0hard/-19152soft"
950,"0hard/-19117soft"
1001,"0hard/-18851soft"
