"timeMillisSpent","score"
501,"-153hard/-47159soft"
507,"-152hard/-48905soft"
507,"-150hard/-49605soft"
574,"-148hard/-92309soft"
636,"-133hard/-106302soft"
637,"-128hard/-104388soft"
637,"-128hard/-103747soft"
638,"-128hard/-102549soft"
639,"-127hard/-99635soft"
641,"-126hard/-102105soft"
755,"-124hard/-113136soft"
756,"-124hard/-111446soft"
756,"-124hard/-111298soft"
757,"-124hard/-110253soft"
845,"-122hard/-116771soft"
847,"-121hard/-119042soft"
848,"-117hard/-122682soft"
864,"-116hard/-121624soft"
867,"-113hard/-120396soft"
867,"-107hard/-119802soft"
867,"-106hard/-119361soft"
868,"-106hard/-118775soft"
884,"-101hard/-118860soft"
978,"-99hard/-109316soft"
1016,"-98hard/-117446soft"
1016,"-90hard/-117430soft"
1111,"-85hard/-115737soft"
1113,"-83hard/-116237soft"
1345,"-81hard/-114410soft"
1494,"-80hard/-120928soft"
1494,"-79hard/-120926soft"
1495,"-78hard/-122094soft"
1495,"-78hard/-121676soft"
1496,"-78hard/-120221soft"
1496,"-75hard/-118849soft"
1496,"-73hard/-118531soft"
1496,"-73hard/-118033soft"
1497,"-71hard/-118895soft"
1530,"-69hard/-121614soft"
1531,"-67hard/-120514soft"
1532,"-66hard/-116924soft"
1532,"-64hard/-117015soft"
1635,"-63hard/-111028soft"
1635,"-62hard/-110048soft"
1925,"-61hard/-116483soft"
1944,"-60hard/-118582soft"
1944,"-59hard/-117939soft"
1944,"-57hard/-117311soft"
1945,"-57hard/-116858soft"
1945,"-57hard/-115138soft"
1947,"-55hard/-115007soft"
2044,"-54hard/-117857soft"
2071,"-53hard/-117335soft"
2138,"-53hard/-115563soft"
2138,"-52hard/-113828soft"
2157,"-52hard/-111944soft"
2263,"-50hard/-115033soft"
2264,"-50hard/-114485soft"
2288,"-48hard/-111006soft"
2289,"-46hard/-113061soft"
2481,"-46hard/-112593soft"
2537,"-45hard/-113852soft"
2537,"-44hard/-113851soft"
2540,"-43hard/-113906soft"
2654,"-43hard/-111511soft"
2657,"-43hard/-110284soft"
2657,"-42hard/-109650soft"
2780,"-41hard/-109321soft"
2781,"-40hard/-109081soft"
2781,"-40hard/-108585soft"
2781,"-40hard/-107950soft"
2781,"-39hard/-107020soft"
2781,"-39hard/-106745soft"
2887,"-38hard/-107933soft"
