"timeMillisSpent","score"
490,"-142hard/-46606soft"
504,"-136hard/-58728soft"
506,"-127hard/-60562soft"
509,"-125hard/-64046soft"
513,"-124hard/-65474soft"
514,"-124hard/-64876soft"
515,"-116hard/-64876soft"
517,"-109hard/-65269soft"
519,"-107hard/-65150soft"
526,"-83hard/-71861soft"
528,"-83hard/-71847soft"
529,"-82hard/-73020soft"
531,"-82hard/-72979soft"
537,"-81hard/-73702soft"
539,"-80hard/-76203soft"
570,"-74hard/-78913soft"
572,"-73hard/-79773soft"
660,"-66hard/-93399soft"
661,"-65hard/-96749soft"
662,"-65hard/-95223soft"
669,"-59hard/-98821soft"
670,"-57hard/-98177soft"
679,"-49hard/-98051soft"
681,"-49hard/-97567soft"
682,"-48hard/-99029soft"
684,"-47hard/-99029soft"
686,"-41hard/-99774soft"
687,"-39hard/-98140soft"
689,"-38hard/-97850soft"
691,"-37hard/-97447soft"
692,"-37hard/-97243soft"
693,"-37hard/-96514soft"
698,"-37hard/-96279soft"
699,"-37hard/-95888soft"
702,"-34hard/-95598soft"
703,"-34hard/-95147soft"
705,"-34hard/-94370soft"
706,"-33hard/-95169soft"
707,"-33hard/-95148soft"
709,"-31hard/-95340soft"
711,"-31hard/-95181soft"
712,"-31hard/-94882soft"
713,"-30hard/-95055soft"
715,"-18hard/-96658soft"
719,"-18hard/-96352soft"
720,"-18hard/-95819soft"
725,"-18hard/-94930soft"
733,"-16hard/-96373soft"
738,"-14hard/-96093soft"
741,"-13hard/-96313soft"
864,"-11hard/-96652soft"
865,"-11hard/-96495soft"
869,"-11hard/-96307soft"
870,"-11hard/-95890soft"
871,"-11hard/-95470soft"
873,"-10hard/-95978soft"
935,"-10hard/-94728soft"
936,"-10hard/-94141soft"
2153,"-9hard/-95392soft"
2584,"-9hard/-92934soft"
2586,"-6hard/-91345soft"
2597,"-2hard/-90536soft"
2600,"-2hard/-90491soft"
2601,"-1hard/-90264soft"
