"timeMillisSpent","score"
15,"-7hard/-21499soft"
20,"-6hard/-23055soft"
20,"-6hard/-21498soft"
20,"-5hard/-22327soft"
22,"0hard/-23987soft"
582,"0hard/-23553soft"
989,"0hard/-23551soft"
1009,"0hard/-23273soft"
1069,"0hard/-23171soft"
1103,"0hard/-23162soft"
1103,"0hard/-23137soft"
1109,"0hard/-22918soft"
1109,"0hard/-22627soft"
1127,"0hard/-22164soft"
1127,"0hard/-22089soft"
1363,"0hard/-22087soft"
1364,"0hard/-21771soft"
1713,"0hard/-21755soft"
1713,"0hard/-21351soft"
2275,"0hard/-21135soft"
2281,"0hard/-21105soft"
2293,"0hard/-20747soft"
