"timeMillisSpent","score"
510,"-150hard/-49144soft"
691,"-105hard/-55438soft"
928,"-73hard/-61890soft"
1202,"-44hard/-67521soft"
1418,"-34hard/-67521soft"
1645,"-25hard/-67521soft"
1862,"-20hard/-67782soft"
2099,"-17hard/-67533soft"
2340,"-14hard/-68857soft"
2606,"-11hard/-68292soft"
2867,"-10hard/-67870soft"
3127,"-9hard/-67518soft"
3291,"-8hard/-67602soft"
3427,"-7hard/-67728soft"
3551,"-6hard/-67751soft"
3662,"-6hard/-67543soft"
3776,"-6hard/-66742soft"
3897,"-6hard/-65449soft"
4025,"-6hard/-65259soft"
4152,"-6hard/-64964soft"
4282,"-6hard/-64784soft"
4410,"-6hard/-64436soft"
4550,"-5hard/-66318soft"
4680,"-5hard/-65499soft"
4826,"-5hard/-65290soft"
4968,"-3hard/-65283soft"
5114,"-3hard/-65058soft"
5234,"-2hard/-65802soft"
5353,"-1hard/-65974soft"
5469,"-1hard/-65760soft"
5592,"-1hard/-65690soft"
5713,"-1hard/-65361soft"
5827,"-1hard/-65085soft"
5935,"-1hard/-64636soft"
6038,"-1hard/-64087soft"
6142,"0hard/-63852soft"
6249,"0hard/-63543soft"
6356,"0hard/-63517soft"
6466,"0hard/-63353soft"
6570,"0hard/-63164soft"
6681,"0hard/-62970soft"
6905,"0hard/-62837soft"
7017,"0hard/-62662soft"
7127,"0hard/-62502soft"
7231,"0hard/-62428soft"
7337,"0hard/-62180soft"
7441,"0hard/-62087soft"
7543,"0hard/-62027soft"
7647,"0hard/-61835soft"
7747,"0hard/-61515soft"
7861,"0hard/-61424soft"
7978,"0hard/-61312soft"
8105,"0hard/-61197soft"
8223,"0hard/-61075soft"
8348,"0hard/-60847soft"
8469,"0hard/-60826soft"
8587,"0hard/-60757soft"
8717,"0hard/-60639soft"
8844,"0hard/-60592soft"
8970,"0hard/-60310soft"
9078,"0hard/-60296soft"
9190,"0hard/-60263soft"
9294,"0hard/-60166soft"
9399,"0hard/-60069soft"
9511,"0hard/-59978soft"
9628,"0hard/-59892soft"
9739,"0hard/-59755soft"
9849,"0hard/-59739soft"
9959,"0hard/-59709soft"
10000,"0hard/-59699soft"
