"timeMillisSpent","score"
513,"-153hard/-47159soft"
522,"-152hard/-50091soft"
527,"-117hard/-57172soft"
531,"-107hard/-57632soft"
533,"-101hard/-60065soft"
537,"-96hard/-60772soft"
546,"-94hard/-67054soft"
633,"-85hard/-79348soft"
638,"-84hard/-80389soft"
639,"-74hard/-81770soft"
684,"-71hard/-91791soft"
687,"-70hard/-90900soft"
688,"-59hard/-90900soft"
692,"-59hard/-90892soft"
693,"-58hard/-90892soft"
700,"-57hard/-92688soft"
715,"-55hard/-99562soft"
717,"-55hard/-99280soft"
718,"-54hard/-100600soft"
722,"-52hard/-102583soft"
725,"-52hard/-102514soft"
725,"-52hard/-101091soft"
727,"-50hard/-101151soft"
730,"-41hard/-101700soft"
731,"-40hard/-102130soft"
740,"-39hard/-103731soft"
743,"-38hard/-102298soft"
745,"-37hard/-102451soft"
746,"-36hard/-102899soft"
747,"-35hard/-100914soft"
749,"-35hard/-100795soft"
750,"-34hard/-100759soft"
762,"-33hard/-102413soft"
762,"-33hard/-102380soft"
763,"-33hard/-102240soft"
828,"-32hard/-101737soft"
829,"-31hard/-101405soft"
833,"-30hard/-100382soft"
837,"-30hard/-100165soft"
837,"-30hard/-100102soft"
858,"-29hard/-99723soft"
918,"-27hard/-102977soft"
928,"-20hard/-102737soft"
934,"-20hard/-101621soft"
935,"-20hard/-100826soft"
936,"-19hard/-100900soft"
936,"-18hard/-100626soft"
939,"-17hard/-100871soft"
948,"-16hard/-101217soft"
949,"-16hard/-99265soft"
950,"-13hard/-99803soft"
959,"-13hard/-97066soft"
959,"-13hard/-96553soft"
960,"-13hard/-96551soft"
967,"-12hard/-97552soft"
1394,"-12hard/-95866soft"
1394,"-12hard/-95759soft"
1395,"-11hard/-94478soft"
1397,"-11hard/-94017soft"
1463,"-10hard/-93630soft"
1592,"-10hard/-91850soft"
1594,"-8hard/-92153soft"
1595,"-8hard/-92102soft"
1595,"-8hard/-91383soft"
2220,"-7hard/-92789soft"
2223,"-5hard/-92943soft"
2224,"-5hard/-92758soft"
2226,"-5hard/-91547soft"
2227,"-5hard/-91265soft"
2443,"-5hard/-89943soft"
2459,"-5hard/-89029soft"
2490,"-5hard/-87752soft"
2490,"-5hard/-87724soft"
2491,"-3hard/-88129soft"
2492,"-3hard/-87730soft"
2493,"-3hard/-87404soft"
2495,"-3hard/-87314soft"
2496,"-3hard/-86985soft"
2507,"-2hard/-88845soft"
