"timeMillisSpent","score"
82,"-48hard/-32691soft"
86,"-46hard/-37184soft"
89,"-45hard/-38903soft"
90,"-45hard/-38076soft"
92,"-45hard/-37870soft"
94,"-44hard/-37634soft"
96,"-44hard/-37626soft"
97,"-42hard/-36941soft"
99,"-41hard/-37008soft"
101,"-40hard/-39176soft"
103,"-40hard/-38914soft"
127,"-31hard/-48592soft"
129,"-31hard/-48583soft"
129,"-29hard/-49040soft"
131,"-20hard/-49683soft"
132,"-17hard/-49574soft"
133,"-17hard/-49163soft"
134,"-16hard/-48356soft"
135,"-15hard/-48383soft"
136,"-15hard/-48287soft"
137,"-15hard/-48225soft"
138,"-15hard/-47920soft"
145,"-13hard/-49043soft"
145,"-12hard/-48288soft"
146,"-11hard/-48315soft"
147,"-9hard/-46903soft"
147,"-9hard/-46899soft"
149,"-9hard/-46895soft"
151,"-9hard/-46676soft"
156,"-8hard/-46209soft"
156,"-8hard/-45866soft"
160,"-8hard/-45849soft"
792,"-7hard/-46440soft"
824,"-7hard/-45233soft"
826,"-7hard/-44705soft"
865,"-6hard/-45558soft"
877,"-5hard/-44317soft"
880,"-5hard/-44306soft"
904,"-5hard/-43998soft"
906,"-4hard/-44140soft"
907,"-4hard/-43736soft"
909,"-3hard/-44015soft"
2288,"-3hard/-43719soft"
