"timeMillisSpent","score"
82,"-48hard/-32691soft"
88,"-47hard/-35527soft"
128,"-41hard/-50113soft"
141,"-40hard/-61434soft"
141,"-35hard/-61434soft"
142,"-34hard/-62652soft"
215,"-34hard/-59685soft"
271,"-32hard/-59329soft"
287,"-31hard/-60924soft"
288,"-31hard/-60828soft"
352,"-29hard/-61793soft"
363,"-29hard/-59752soft"
363,"-29hard/-59613soft"
370,"-29hard/-57849soft"
370,"-27hard/-57279soft"
445,"-26hard/-62196soft"
466,"-23hard/-55000soft"
655,"-20hard/-55230soft"
655,"-20hard/-54822soft"
862,"-20hard/-54110soft"
909,"-19hard/-54813soft"
969,"-18hard/-52341soft"
1009,"-18hard/-52158soft"
1043,"-17hard/-52025soft"
1220,"-17hard/-49283soft"
1470,"-15hard/-51606soft"
1471,"-14hard/-50698soft"
1471,"-14hard/-49947soft"
1779,"-14hard/-49744soft"
1781,"-14hard/-49578soft"
1847,"-13hard/-51247soft"
1931,"-13hard/-50474soft"
1933,"-13hard/-49779soft"
1993,"-13hard/-49645soft"
1993,"-13hard/-49516soft"
1993,"-13hard/-49035soft"
2139,"-13hard/-48589soft"
2152,"-12hard/-46932soft"
2152,"-12hard/-46905soft"
2212,"-11hard/-49763soft"
2253,"-11hard/-49575soft"
2423,"-11hard/-48690soft"
2589,"-11hard/-48535soft"
2590,"-10hard/-49380soft"
2601,"-10hard/-48308soft"
2661,"-10hard/-47158soft"
2669,"-10hard/-46749soft"
2926,"-9hard/-47659soft"
2926,"-9hard/-47286soft"
2973,"-9hard/-46545soft"
3082,"-9hard/-45811soft"
3096,"-8hard/-47534soft"
3272,"-8hard/-47381soft"
3277,"-8hard/-47208soft"
3279,"-8hard/-45364soft"
3649,"-7hard/-45976soft"
3681,"-7hard/-45286soft"
3852,"-6hard/-45145soft"
4060,"-5hard/-44352soft"
4060,"-5hard/-44303soft"
4253,"-4hard/-44069soft"
4664,"-3hard/-44689soft"
4683,"-3hard/-43155soft"
4855,"-2hard/-43412soft"
5428,"-1hard/-43413soft"
5433,"-1hard/-41390soft"
6141,"0hard/-42729soft"
6537,"0hard/-42246soft"
7245,"0hard/-42121soft"
7256,"0hard/-41208soft"
7256,"0hard/-41143soft"
8545,"0hard/-41106soft"
8594,"0hard/-41075soft"
8817,"0hard/-40757soft"
9255,"0hard/-40655soft"
9327,"0hard/-40620soft"
9366,"0hard/-40501soft"
9366,"0hard/-40275soft"
9367,"0hard/-39759soft"
9899,"0hard/-39551soft"
9927,"0hard/-39360soft"
9928,"0hard/-39331soft"
