"timeMillisSpent","score"
15,"-7hard/-21499soft"
36,"-5hard/-23782soft"
58,"0hard/-23119soft"
90,"0hard/-23054soft"
122,"0hard/-22569soft"
154,"0hard/-22442soft"
196,"0hard/-22361soft"
236,"0hard/-22156soft"
271,"0hard/-21940soft"
302,"0hard/-21848soft"
337,"0hard/-21833soft"
369,"0hard/-21098soft"
404,"0hard/-20214soft"
436,"0hard/-20039soft"
466,"0hard/-19864soft"
494,"0hard/-19785soft"
520,"0hard/-19744soft"
546,"0hard/-19707soft"
572,"0hard/-19653soft"
606,"0hard/-19375soft"
710,"0hard/-19365soft"
744,"0hard/-19337soft"
776,"0hard/-19333soft"
807,"0hard/-19231soft"
836,"0hard/-19176soft"
892,"0hard/-19152soft"
944,"0hard/-19117soft"
996,"0hard/-18851soft"
