"timeMillisSpent","score"
15,"-7hard/-21499soft"
54,"0hard/-24603soft"
120,"0hard/-24243soft"
188,"0hard/-23684soft"
262,"0hard/-23492soft"
340,"0hard/-23286soft"
420,"0hard/-22612soft"
519,"0hard/-22305soft"
636,"0hard/-22052soft"
759,"0hard/-21893soft"
875,"0hard/-21838soft"
1015,"0hard/-21717soft"
1114,"0hard/-21708soft"
1551,"0hard/-21404soft"
1653,"0hard/-20192soft"
1757,"0hard/-20127soft"
1858,"0hard/-20064soft"
1957,"0hard/-19887soft"
2077,"0hard/-19811soft"
2201,"0hard/-19557soft"
2319,"0hard/-19503soft"
2873,"0hard/-19382soft"
3000,"0hard/-19258soft"
