"timeMillisSpent","score"
553,"-143hard/-47499soft"
557,"-141hard/-48837soft"
788,"-140hard/-75016soft"
789,"-140hard/-74950soft"
791,"-140hard/-74192soft"
792,"-140hard/-73820soft"
794,"-140hard/-73649soft"
796,"-140hard/-72358soft"
798,"-140hard/-71829soft"
799,"-140hard/-71601soft"
976,"-138hard/-72700soft"
978,"-137hard/-73973soft"
981,"-136hard/-74253soft"
991,"-135hard/-74845soft"
1002,"-134hard/-75253soft"
1004,"-133hard/-75583soft"
1007,"-131hard/-75595soft"
1009,"-129hard/-75595soft"
1018,"-127hard/-76800soft"
1020,"-125hard/-77120soft"
1022,"-125hard/-76933soft"
1023,"-123hard/-77949soft"
1024,"-123hard/-77913soft"
1030,"-123hard/-77524soft"
1031,"-123hard/-77364soft"
1033,"-123hard/-76467soft"
1034,"-121hard/-76582soft"
1035,"-121hard/-76459soft"
1038,"-121hard/-76321soft"
1042,"-119hard/-76428soft"
1044,"-119hard/-75913soft"
1045,"-119hard/-75220soft"
1049,"-118hard/-78956soft"
1050,"-118hard/-77949soft"
1051,"-118hard/-77428soft"
1057,"-118hard/-77320soft"
1059,"-117hard/-78563soft"
1060,"-117hard/-77613soft"
1061,"-117hard/-77543soft"
1064,"-116hard/-77717soft"
1065,"-114hard/-78022soft"
1066,"-114hard/-77562soft"
1069,"-112hard/-78216soft"
1070,"-112hard/-78184soft"
1072,"-111hard/-79353soft"
1073,"-110hard/-82339soft"
1074,"-110hard/-82179soft"
1077,"-109hard/-82643soft"
1079,"-109hard/-82580soft"
1080,"-109hard/-81920soft"
1085,"-109hard/-81912soft"
1086,"-109hard/-81535soft"
1087,"-109hard/-81503soft"
1089,"-109hard/-81330soft"
1090,"-109hard/-79922soft"
1093,"-107hard/-80726soft"
1099,"-107hard/-80528soft"
1102,"-107hard/-80180soft"
1103,"-107hard/-80158soft"
1109,"-106hard/-83030soft"
1110,"-105hard/-83181soft"
1111,"-105hard/-82828soft"
1126,"-103hard/-83735soft"
1127,"-103hard/-83672soft"
1128,"-102hard/-83781soft"
1133,"-102hard/-83349soft"
1134,"-102hard/-83165soft"
1135,"-101hard/-82978soft"
1136,"-99hard/-82605soft"
1143,"-99hard/-82604soft"
1145,"-98hard/-82520soft"
1162,"-97hard/-85120soft"
1167,"-95hard/-86795soft"
1169,"-95hard/-86289soft"
1170,"-95hard/-86027soft"
1171,"-95hard/-85946soft"
1172,"-95hard/-85666soft"
1174,"-94hard/-85652soft"
1176,"-94hard/-85043soft"
1178,"-93hard/-86531soft"
1182,"-93hard/-86418soft"
1185,"-91hard/-87195soft"
1192,"-89hard/-90392soft"
1193,"-89hard/-89947soft"
1211,"-89hard/-87602soft"
1212,"-89hard/-87013soft"
1216,"-87hard/-91574soft"
1217,"-87hard/-90189soft"
1219,"-87hard/-89785soft"
1223,"-85hard/-95585soft"
1230,"-85hard/-95024soft"
1231,"-83hard/-96695soft"
1232,"-81hard/-96618soft"
1233,"-79hard/-97516soft"
1235,"-79hard/-97266soft"
1237,"-77hard/-97852soft"
1238,"-75hard/-97584soft"
1241,"-73hard/-98691soft"
1242,"-72hard/-99557soft"
1245,"-71hard/-100270soft"
1246,"-69hard/-99110soft"
1250,"-67hard/-100001soft"
1254,"-67hard/-99900soft"
1256,"-67hard/-99774soft"
1257,"-65hard/-98446soft"
1257,"-64hard/-97959soft"
1260,"-64hard/-97896soft"
1263,"-64hard/-97887soft"
1264,"-64hard/-97401soft"
