"timeMillisSpent","score"
515,"-142hard/-46606soft"
697,"-109hard/-54296soft"
945,"-67hard/-60229soft"
1160,"-58hard/-60229soft"
1367,"-39hard/-65602soft"
1622,"-31hard/-65602soft"
1907,"-22hard/-65602soft"
2193,"-17hard/-65471soft"
2537,"-16hard/-65237soft"
2853,"-14hard/-65271soft"
3173,"-12hard/-65720soft"
3510,"-10hard/-65080soft"
3719,"-8hard/-65454soft"
3860,"-5hard/-66155soft"
4002,"-4hard/-67505soft"
4118,"-4hard/-67108soft"
4229,"-3hard/-66810soft"
4341,"0hard/-65902soft"
4452,"0hard/-65147soft"
4552,"0hard/-64012soft"
4661,"0hard/-63897soft"
4760,"0hard/-63444soft"
4861,"0hard/-63023soft"
5063,"0hard/-62752soft"
5169,"0hard/-61962soft"
5279,"0hard/-61851soft"
5386,"0hard/-61740soft"
5495,"0hard/-61588soft"
5598,"0hard/-61424soft"
5713,"0hard/-61343soft"
5822,"0hard/-61237soft"
5941,"0hard/-61003soft"
6052,"0hard/-60706soft"
6169,"0hard/-60613soft"
6288,"0hard/-60385soft"
6400,"0hard/-60070soft"
6507,"0hard/-60069soft"
6618,"0hard/-59932soft"
6730,"0hard/-59775soft"
6849,"0hard/-59679soft"
6963,"0hard/-59546soft"
7078,"0hard/-59490soft"
7186,"0hard/-59377soft"
7300,"0hard/-59274soft"
7404,"0hard/-58828soft"
7515,"0hard/-58696soft"
7638,"0hard/-58675soft"
7750,"0hard/-58650soft"
7865,"0hard/-58525soft"
7976,"0hard/-58365soft"
8085,"0hard/-58343soft"
8194,"0hard/-58183soft"
8306,"0hard/-58178soft"
8417,"0hard/-58117soft"
8526,"0hard/-58044soft"
8634,"0hard/-58002soft"
8743,"0hard/-57999soft"
8852,"0hard/-57659soft"
8966,"0hard/-57576soft"
9213,"0hard/-57522soft"
9347,"0hard/-57438soft"
9477,"0hard/-57417soft"
9613,"0hard/-57317soft"
9752,"0hard/-57218soft"
9887,"0hard/-57110soft"
10000,"0hard/-57090soft"
