"timeMillisSpent","score"
83,"-48hard/-32691soft"
87,"-47hard/-35527soft"
124,"-41hard/-50113soft"
138,"-40hard/-61434soft"
138,"-35hard/-61434soft"
138,"-34hard/-62652soft"
210,"-34hard/-59685soft"
266,"-32hard/-59329soft"
282,"-31hard/-60924soft"
282,"-31hard/-60828soft"
350,"-29hard/-61793soft"
360,"-29hard/-59752soft"
361,"-29hard/-59613soft"
367,"-29hard/-57849soft"
368,"-27hard/-57279soft"
442,"-26hard/-62196soft"
465,"-23hard/-55000soft"
659,"-20hard/-55230soft"
659,"-20hard/-54822soft"
871,"-20hard/-54110soft"
919,"-19hard/-54813soft"
978,"-18hard/-52341soft"
1016,"-18hard/-52158soft"
1049,"-17hard/-52025soft"
1223,"-17hard/-49283soft"
1471,"-15hard/-51606soft"
1472,"-14hard/-50698soft"
1472,"-14hard/-49947soft"
1780,"-14hard/-49744soft"
1781,"-14hard/-49578soft"
1847,"-13hard/-51247soft"
1933,"-13hard/-50474soft"
1935,"-13hard/-49779soft"
1996,"-13hard/-49645soft"
1996,"-13hard/-49516soft"
1996,"-13hard/-49035soft"
2143,"-13hard/-48589soft"
2156,"-12hard/-46932soft"
2156,"-12hard/-46905soft"
2216,"-11hard/-49763soft"
2257,"-11hard/-49575soft"
2414,"-11hard/-48690soft"
2580,"-11hard/-48535soft"
2581,"-10hard/-49380soft"
2592,"-10hard/-48308soft"
2654,"-10hard/-47158soft"
2662,"-10hard/-46749soft"
2917,"-9hard/-47659soft"
2917,"-9hard/-47286soft"
2965,"-9hard/-46545soft"
