"timeMillisSpent","score"
7976,"-423hard/-90776soft"
8294,"-374hard/-96628soft"
8563,"-317hard/-103704soft"
8816,"-267hard/-108715soft"
9073,"-246hard/-110807soft"
9342,"-205hard/-117329soft"
9642,"-192hard/-120362soft"
9870,"-156hard/-127379soft"
10041,"-146hard/-127379soft"
10169,"-135hard/-127379soft"
10296,"-125hard/-127379soft"
10393,"-116hard/-127634soft"
10483,"-113hard/-127591soft"
10559,"-104hard/-127591soft"
10638,"-102hard/-128341soft"
10714,"-87hard/-133958soft"
10792,"-81hard/-134335soft"
10880,"-76hard/-136192soft"
10963,"-74hard/-136192soft"
11049,"-69hard/-142835soft"
11129,"-62hard/-143847soft"
11196,"-57hard/-149247soft"
11265,"-52hard/-151332soft"
11329,"-43hard/-151332soft"
11394,"-30hard/-151432soft"
11458,"-21hard/-151951soft"
11518,"-19hard/-152622soft"
11575,"-16hard/-152941soft"
11633,"-15hard/-153341soft"
11687,"-13hard/-151437soft"
11740,"-11hard/-151437soft"
11792,"-10hard/-151848soft"
11843,"-9hard/-151848soft"
11895,"-8hard/-151848soft"
11942,"-8hard/-151844soft"
11993,"-7hard/-151857soft"
12044,"-5hard/-151857soft"
12095,"-3hard/-151857soft"
12149,"-3hard/-151795soft"
12202,"-2hard/-152644soft"
12256,"-2hard/-152544soft"
12306,"-2hard/-150992soft"
12356,"-2hard/-150496soft"
12408,"-2hard/-150401soft"
12460,"-1hard/-150315soft"
12511,"-1hard/-150133soft"
12563,"-1hard/-149902soft"
12613,"-1hard/-149801soft"
12662,"-1hard/-149644soft"
12713,"-1hard/-149491soft"
12766,"-1hard/-149408soft"
12817,"-1hard/-148507soft"
12868,"-1hard/-147738soft"
12965,"-1hard/-147512soft"
13016,"-1hard/-147386soft"
13065,"-1hard/-147252soft"
13169,"-1hard/-146740soft"
13227,"-1hard/-146562soft"
13279,"0hard/-147630soft"
13329,"0hard/-147553soft"
13383,"0hard/-147343soft"
13433,"0hard/-147300soft"
13483,"0hard/-146349soft"
13534,"0hard/-146174soft"
13585,"0hard/-146037soft"
13632,"0hard/-145945soft"
13683,"0hard/-145541soft"
13732,"0hard/-145466soft"
13787,"0hard/-145148soft"
13835,"0hard/-145095soft"
13888,"0hard/-144801soft"
13939,"0hard/-144723soft"
13990,"0hard/-144347soft"
14040,"0hard/-144345soft"
14143,"0hard/-144078soft"
14194,"0hard/-143999soft"
14244,"0hard/-143304soft"
14294,"0hard/-143201soft"
14348,"0hard/-142706soft"
14402,"0hard/-142433soft"
14452,"0hard/-142432soft"
14503,"0hard/-142343soft"
14556,"0hard/-142176soft"
14607,"0hard/-142123soft"
14708,"0hard/-142083soft"
14759,"0hard/-142035soft"
14813,"0hard/-141997soft"
14864,"0hard/-141894soft"
14972,"0hard/-141546soft"
15025,"0hard/-141439soft"
15073,"0hard/-141364soft"
15123,"0hard/-141342soft"
15171,"0hard/-141272soft"
15226,"0hard/-141182soft"
15277,"0hard/-141175soft"
15332,"0hard/-141150soft"
15382,"0hard/-140925soft"
15482,"0hard/-140888soft"
15637,"0hard/-140871soft"
15686,"0hard/-140831soft"
15739,"0hard/-140703soft"
15794,"0hard/-140524soft"
15848,"0hard/-140508soft"
15897,"0hard/-140424soft"
15998,"0hard/-140420soft"
16048,"0hard/-140348soft"
16095,"0hard/-140113soft"
16146,"0hard/-139923soft"
16195,"0hard/-139770soft"
16249,"0hard/-139723soft"
16307,"0hard/-139647soft"
16359,"0hard/-139558soft"
16410,"0hard/-139399soft"
16512,"0hard/-139393soft"
16560,"0hard/-139141soft"
16611,"0hard/-139108soft"
16713,"0hard/-139066soft"
16762,"0hard/-139064soft"
16864,"0hard/-139059soft"
16926,"0hard/-138922soft"
16973,"0hard/-138843soft"
17025,"0hard/-138710soft"
17179,"0hard/-138428soft"
17226,"0hard/-138328soft"
17276,"0hard/-138303soft"
17328,"0hard/-138302soft"
17380,"0hard/-138196soft"
17430,"0hard/-138183soft"
17539,"0hard/-138157soft"
17586,"0hard/-138077soft"
17634,"0hard/-138043soft"
17686,"0hard/-137968soft"
17787,"0hard/-137949soft"
17835,"0hard/-137916soft"
17884,"0hard/-137581soft"
17983,"0hard/-137537soft"
18083,"0hard/-137381soft"
18131,"0hard/-137359soft"
18182,"0hard/-137358soft"
18229,"0hard/-137357soft"
18283,"0hard/-137227soft"
18383,"0hard/-137040soft"
18434,"0hard/-137011soft"
18483,"0hard/-136931soft"
18533,"0hard/-136913soft"
18580,"0hard/-136881soft"
18631,"0hard/-136706soft"
18729,"0hard/-136567soft"
18777,"0hard/-136503soft"
18874,"0hard/-136496soft"
18921,"0hard/-136470soft"
18972,"0hard/-136407soft"
19023,"0hard/-136350soft"
19077,"0hard/-136236soft"
19375,"0hard/-136168soft"
19627,"0hard/-136061soft"
19720,"0hard/-135974soft"
19770,"0hard/-135894soft"
19872,"0hard/-135682soft"
19922,"0hard/-135644soft"
20000,"0hard/-135520soft"
