"timeMillisSpent","score"
505,"-153hard/-47159soft"
603,"-106hard/-53191soft"
719,"-92hard/-59604soft"
811,"-66hard/-66755soft"
911,"-50hard/-67278soft"
1016,"-40hard/-67278soft"
1124,"-35hard/-67278soft"
1205,"-32hard/-67466soft"
1275,"-22hard/-67466soft"
1325,"-20hard/-67466soft"
1370,"-16hard/-68398soft"
1418,"-14hard/-68865soft"
1466,"-13hard/-68764soft"
1510,"-12hard/-69642soft"
1556,"-11hard/-69879soft"
1602,"-9hard/-70273soft"
1644,"-9hard/-70071soft"
1692,"-9hard/-69879soft"
1738,"-9hard/-69805soft"
1831,"-8hard/-68378soft"
1883,"-1hard/-71945soft"
1934,"0hard/-73646soft"
1982,"0hard/-72940soft"
2027,"0hard/-72651soft"
2072,"0hard/-72307soft"
2122,"0hard/-71734soft"
2164,"0hard/-71465soft"
2211,"0hard/-71223soft"
2251,"0hard/-71007soft"
2297,"0hard/-70791soft"
2338,"0hard/-70747soft"
2383,"0hard/-70485soft"
2429,"0hard/-70304soft"
2474,"0hard/-70187soft"
2516,"0hard/-69985soft"
2559,"0hard/-69798soft"
2603,"0hard/-69612soft"
2645,"0hard/-69446soft"
2686,"0hard/-69316soft"
2727,"0hard/-69098soft"
2770,"0hard/-68969soft"
2814,"0hard/-68822soft"
2861,"0hard/-68746soft"
2903,"0hard/-68648soft"
2945,"0hard/-68572soft"
2985,"0hard/-68486soft"
3030,"0hard/-68443soft"
3075,"0hard/-68105soft"
3121,"0hard/-67808soft"
3172,"0hard/-67499soft"
3218,"0hard/-67306soft"
3267,"0hard/-67009soft"
3323,"0hard/-66960soft"
3378,"0hard/-66868soft"
3429,"0hard/-66817soft"
3479,"0hard/-66790soft"
3530,"0hard/-66706soft"
3574,"0hard/-66579soft"
3616,"0hard/-66487soft"
3658,"0hard/-65980soft"
3697,"0hard/-65894soft"
3737,"0hard/-65712soft"
3784,"0hard/-65632soft"
3828,"0hard/-65403soft"
3872,"0hard/-64810soft"
3911,"0hard/-64604soft"
3954,"0hard/-64599soft"
3995,"0hard/-64146soft"
4042,"0hard/-63808soft"
4094,"0hard/-60458soft"
4148,"0hard/-60266soft"
4199,"0hard/-59831soft"
4250,"0hard/-59605soft"
4304,"0hard/-59531soft"
4349,"0hard/-59412soft"
4435,"0hard/-59278soft"
4482,"0hard/-59172soft"
4526,"0hard/-59038soft"
4569,"0hard/-58877soft"
4615,"0hard/-58751soft"
4659,"0hard/-58710soft"
4752,"0hard/-58673soft"
4800,"0hard/-58605soft"
4848,"0hard/-58604soft"
4896,"0hard/-58576soft"
4940,"0hard/-58550soft"
4986,"0hard/-58467soft"
5031,"0hard/-58430soft"
5081,"0hard/-58426soft"
5129,"0hard/-58287soft"
5171,"0hard/-58264soft"
5264,"0hard/-58139soft"
5360,"0hard/-58100soft"
5407,"0hard/-58053soft"
5454,"0hard/-57713soft"
5544,"0hard/-57692soft"
5632,"0hard/-57691soft"
5682,"0hard/-57681soft"
5775,"0hard/-57662soft"
5830,"0hard/-57495soft"
5880,"0hard/-57241soft"
5935,"0hard/-57184soft"
5987,"0hard/-57167soft"
6083,"0hard/-56993soft"
6222,"0hard/-56937soft"
6312,"0hard/-56859soft"
6359,"0hard/-56848soft"
6499,"0hard/-56775soft"
6678,"0hard/-56764soft"
6726,"0hard/-56563soft"
6774,"0hard/-56516soft"
6823,"0hard/-56484soft"
7013,"0hard/-56480soft"
7060,"0hard/-56440soft"
7106,"0hard/-56423soft"
7332,"0hard/-56227soft"
7376,"0hard/-56221soft"
7471,"0hard/-56211soft"
7518,"0hard/-56101soft"
7788,"0hard/-56065soft"
7829,"0hard/-56064soft"
7874,"0hard/-56001soft"
7919,"0hard/-55768soft"
8145,"0hard/-55759soft"
8237,"0hard/-55713soft"
8325,"0hard/-55494soft"
8375,"0hard/-55457soft"
8423,"0hard/-55381soft"
8521,"0hard/-55144soft"
8616,"0hard/-55142soft"
8754,"0hard/-55141soft"
8942,"0hard/-55121soft"
9033,"0hard/-55075soft"
9171,"0hard/-55070soft"
9218,"0hard/-55060soft"
9528,"0hard/-55007soft"
9709,"0hard/-54891soft"
9802,"0hard/-54888soft"
9899,"0hard/-54829soft"
9943,"0hard/-54752soft"
