"timeMillisSpent","score"
1115,"-142hard/-46606soft"
1310,"-116hard/-53354soft"
1463,"-90hard/-60147soft"
1644,"-74hard/-61175soft"
1839,"-67hard/-61175soft"
2044,"-52hard/-66684soft"
2213,"-41hard/-66719soft"
2341,"-31hard/-66719soft"
2429,"-28hard/-67001soft"
2547,"-24hard/-68152soft"
2644,"-19hard/-69502soft"
2723,"-14hard/-69502soft"
2805,"-12hard/-69509soft"
2877,"-10hard/-70837soft"
2954,"-9hard/-70897soft"
3043,"-8hard/-74247soft"
3132,"-7hard/-74247soft"
3202,"-6hard/-74247soft"
3279,"-5hard/-74247soft"
3351,"-3hard/-72988soft"
3411,"0hard/-72988soft"
3470,"0hard/-72893soft"
3529,"0hard/-72759soft"
3590,"0hard/-72430soft"
3653,"0hard/-72252soft"
3721,"0hard/-71806soft"
3781,"0hard/-71756soft"
3842,"0hard/-71484soft"
3903,"0hard/-71441soft"
3964,"0hard/-70822soft"
4026,"0hard/-70508soft"
4088,"0hard/-70326soft"
4156,"0hard/-70127soft"
4231,"0hard/-69908soft"
4299,"0hard/-69715soft"
4364,"0hard/-69641soft"
4431,"0hard/-69522soft"
4486,"0hard/-69320soft"
4542,"0hard/-69076soft"
4605,"0hard/-68910soft"
4668,"0hard/-68837soft"
4726,"0hard/-68713soft"
4795,"0hard/-68637soft"
4859,"0hard/-68348soft"
4926,"0hard/-67742soft"
4988,"0hard/-67615soft"
5074,"0hard/-67521soft"
5145,"0hard/-67396soft"
5221,"0hard/-67062soft"
5301,"0hard/-66963soft"
5379,"0hard/-66683soft"
5441,"0hard/-66629soft"
5503,"0hard/-66340soft"
5571,"0hard/-66249soft"
5635,"0hard/-66108soft"
5701,"0hard/-65951soft"
5763,"0hard/-65772soft"
5835,"0hard/-65391soft"
5893,"0hard/-65349soft"
5953,"0hard/-65344soft"
6018,"0hard/-65299soft"
6209,"0hard/-65203soft"
6271,"0hard/-65097soft"
6335,"0hard/-64983soft"
6394,"0hard/-64861soft"
6460,"0hard/-64779soft"
6527,"0hard/-64737soft"
6587,"0hard/-64700soft"
6643,"0hard/-64584soft"
6696,"0hard/-64438soft"
6745,"0hard/-64426soft"
6802,"0hard/-64411soft"
6850,"0hard/-64336soft"
6896,"0hard/-64209soft"
6994,"0hard/-64206soft"
7040,"0hard/-64138soft"
7151,"0hard/-64110soft"
7206,"0hard/-64053soft"
7321,"0hard/-63983soft"
7421,"0hard/-63811soft"
7513,"0hard/-63794soft"
7557,"0hard/-63770soft"
7653,"0hard/-63714soft"
7698,"0hard/-63706soft"
7739,"0hard/-63698soft"
7783,"0hard/-63480soft"
7827,"0hard/-63477soft"
7867,"0hard/-63455soft"
7953,"0hard/-63309soft"
8039,"0hard/-63258soft"
8083,"0hard/-63024soft"
8127,"0hard/-62873soft"
8219,"0hard/-62820soft"
8263,"0hard/-62742soft"
8307,"0hard/-62544soft"
8351,"0hard/-62494soft"
8394,"0hard/-62381soft"
8442,"0hard/-62133soft"
8530,"0hard/-62063soft"
8573,"0hard/-61968soft"
8660,"0hard/-61906soft"
8704,"0hard/-61871soft"
8743,"0hard/-61775soft"
8787,"0hard/-61748soft"
8834,"0hard/-61677soft"
8876,"0hard/-61615soft"
8925,"0hard/-61605soft"
9068,"0hard/-61604soft"
9155,"0hard/-61582soft"
9246,"0hard/-61507soft"
9342,"0hard/-61499soft"
9389,"0hard/-61444soft"
9432,"0hard/-61390soft"
9477,"0hard/-61248soft"
9522,"0hard/-61144soft"
9567,"0hard/-61140soft"
9610,"0hard/-61134soft"
9650,"0hard/-61130soft"
9836,"0hard/-61125soft"
9884,"0hard/-61107soft"
9929,"0hard/-61011soft"
9979,"0hard/-60979soft"
10000,"0hard/-60902soft"
