"timeMillisSpent","score"
509,"-153hard/-47159soft"
598,"-106hard/-53191soft"
713,"-92hard/-59604soft"
802,"-66hard/-66755soft"
900,"-50hard/-67278soft"
1008,"-40hard/-67278soft"
1120,"-35hard/-67278soft"
1201,"-32hard/-67466soft"
1273,"-22hard/-67466soft"
1323,"-20hard/-67466soft"
1367,"-16hard/-68398soft"
1415,"-14hard/-68865soft"
1465,"-13hard/-68764soft"
1511,"-12hard/-69642soft"
1556,"-11hard/-69879soft"
1601,"-9hard/-70273soft"
1643,"-9hard/-70071soft"
1691,"-9hard/-69879soft"
1737,"-9hard/-69805soft"
1830,"-8hard/-68378soft"
1883,"-1hard/-71945soft"
1933,"0hard/-73646soft"
1981,"0hard/-72940soft"
2026,"0hard/-72651soft"
2070,"0hard/-72307soft"
2119,"0hard/-71734soft"
2162,"0hard/-71465soft"
2209,"0hard/-71223soft"
2249,"0hard/-71007soft"
2293,"0hard/-70791soft"
2333,"0hard/-70747soft"
2377,"0hard/-70485soft"
2423,"0hard/-70304soft"
2467,"0hard/-70187soft"
2509,"0hard/-69985soft"
2552,"0hard/-69798soft"
2595,"0hard/-69612soft"
2637,"0hard/-69446soft"
2679,"0hard/-69316soft"
2720,"0hard/-69098soft"
2764,"0hard/-68969soft"
2810,"0hard/-68822soft"
2858,"0hard/-68746soft"
2901,"0hard/-68648soft"
2944,"0hard/-68572soft"
2986,"0hard/-68486soft"
