"timeMillisSpent","score"
500,"-142hard/-46606soft"
517,"-136hard/-58728soft"
519,"-127hard/-60562soft"
522,"-125hard/-64046soft"
527,"-124hard/-65474soft"
528,"-124hard/-64876soft"
529,"-116hard/-64876soft"
532,"-109hard/-65269soft"
533,"-107hard/-65150soft"
542,"-83hard/-71861soft"
544,"-83hard/-71847soft"
545,"-82hard/-73020soft"
548,"-82hard/-72979soft"
554,"-81hard/-73702soft"
558,"-80hard/-76203soft"
589,"-74hard/-78913soft"
591,"-73hard/-79773soft"
689,"-66hard/-93399soft"
691,"-65hard/-96749soft"
692,"-65hard/-95223soft"
698,"-59hard/-98821soft"
699,"-57hard/-98177soft"
710,"-49hard/-98051soft"
712,"-49hard/-97567soft"
713,"-48hard/-99029soft"
715,"-47hard/-99029soft"
717,"-41hard/-99774soft"
718,"-39hard/-98140soft"
719,"-38hard/-97850soft"
722,"-37hard/-97447soft"
722,"-37hard/-97243soft"
723,"-37hard/-96514soft"
728,"-37hard/-96279soft"
729,"-37hard/-95888soft"
731,"-34hard/-95598soft"
733,"-34hard/-95147soft"
735,"-34hard/-94370soft"
736,"-33hard/-95169soft"
737,"-33hard/-95148soft"
738,"-31hard/-95340soft"
740,"-31hard/-95181soft"
742,"-31hard/-94882soft"
742,"-30hard/-95055soft"
744,"-18hard/-96658soft"
748,"-18hard/-96352soft"
749,"-18hard/-95819soft"
753,"-18hard/-94930soft"
761,"-16hard/-96373soft"
766,"-14hard/-96093soft"
769,"-13hard/-96313soft"
893,"-11hard/-96652soft"
895,"-11hard/-96495soft"
899,"-11hard/-96307soft"
900,"-11hard/-95890soft"
900,"-11hard/-95470soft"
903,"-10hard/-95978soft"
963,"-10hard/-94728soft"
964,"-10hard/-94141soft"
2194,"-9hard/-95392soft"
2624,"-9hard/-92934soft"
2626,"-6hard/-91345soft"
2637,"-2hard/-90536soft"
2639,"-2hard/-90491soft"
2640,"-1hard/-90264soft"
