"timeMillisSpent","score"
509,"-153hard/-47159soft"
562,"-106hard/-53191soft"
624,"-98hard/-59646soft"
688,"-72hard/-59816soft"
753,"-61hard/-59816soft"
800,"-49hard/-66979soft"
844,"-39hard/-66979soft"
887,"-27hard/-72499soft"
919,"-17hard/-72499soft"
946,"-15hard/-72578soft"
972,"-14hard/-72656soft"
995,"-13hard/-72845soft"
1020,"-3hard/-72845soft"
1043,"-2hard/-73540soft"
1065,"-1hard/-73374soft"
1087,"0hard/-73268soft"
1109,"0hard/-73040soft"
1131,"0hard/-72800soft"
1179,"0hard/-72526soft"
1223,"0hard/-72287soft"
1245,"0hard/-72225soft"
1269,"0hard/-72184soft"
1291,"0hard/-72148soft"
1314,"0hard/-71768soft"
1340,"0hard/-71580soft"
1369,"0hard/-70926soft"
1397,"0hard/-70696soft"
1421,"0hard/-70617soft"
1443,"0hard/-70493soft"
1466,"0hard/-70443soft"
1489,"0hard/-70367soft"
1511,"0hard/-70120soft"
1533,"0hard/-69969soft"
1556,"0hard/-69592soft"
1579,"0hard/-69527soft"
1602,"0hard/-69314soft"
1624,"0hard/-69077soft"
1646,"0hard/-68967soft"
1668,"0hard/-68808soft"
1689,"0hard/-68654soft"
1711,"0hard/-68632soft"
1757,"0hard/-68461soft"
1781,"0hard/-68304soft"
1804,"0hard/-68179soft"
1826,"0hard/-67818soft"
1848,"0hard/-67503soft"
1870,"0hard/-67332soft"
1892,"0hard/-67105soft"
1937,"0hard/-66788soft"
1960,"0hard/-66575soft"
1982,"0hard/-66492soft"
2004,"0hard/-66387soft"
2028,"0hard/-66348soft"
2050,"0hard/-66347soft"
2073,"0hard/-66326soft"
2096,"0hard/-66321soft"
2143,"0hard/-66273soft"
2165,"0hard/-66251soft"
2188,"0hard/-66106soft"
2210,"0hard/-66072soft"
2232,"0hard/-65966soft"
2277,"0hard/-65955soft"
2319,"0hard/-65870soft"
2342,"0hard/-65846soft"
2365,"0hard/-65762soft"
2408,"0hard/-65711soft"
2429,"0hard/-65703soft"
2452,"0hard/-65545soft"
2496,"0hard/-65519soft"
2522,"0hard/-65395soft"
2545,"0hard/-65384soft"
2567,"0hard/-65363soft"
2588,"0hard/-65288soft"
2609,"0hard/-65280soft"
2630,"0hard/-65259soft"
2678,"0hard/-65246soft"
2703,"0hard/-65180soft"
2725,"0hard/-65175soft"
2790,"0hard/-65109soft"
2813,"0hard/-64953soft"
2834,"0hard/-64901soft"
2882,"0hard/-64697soft"
3020,"0hard/-64594soft"
3088,"0hard/-64586soft"
3112,"0hard/-64547soft"
3273,"0hard/-64491soft"
3319,"0hard/-64416soft"
3364,"0hard/-64393soft"
3386,"0hard/-64383soft"
3481,"0hard/-64314soft"
3505,"0hard/-64313soft"
3552,"0hard/-64275soft"
3598,"0hard/-64272soft"
3621,"0hard/-64242soft"
3669,"0hard/-64159soft"
3714,"0hard/-64047soft"
3737,"0hard/-63885soft"
3760,"0hard/-63870soft"
3782,"0hard/-63869soft"
3805,"0hard/-63858soft"
3868,"0hard/-63829soft"
3889,"0hard/-63824soft"
3913,"0hard/-63710soft"
3960,"0hard/-63632soft"
4031,"0hard/-63486soft"
4054,"0hard/-63460soft"
4076,"0hard/-63451soft"
4100,"0hard/-63418soft"
4216,"0hard/-63384soft"
4237,"0hard/-63351soft"
4283,"0hard/-63205soft"
4308,"0hard/-63154soft"
4405,"0hard/-63133soft"
4430,"0hard/-63119soft"
4451,"0hard/-63077soft"
4471,"0hard/-62977soft"
4493,"0hard/-62955soft"
4536,"0hard/-62929soft"
4560,"0hard/-62908soft"
4604,"0hard/-62758soft"
4720,"0hard/-62415soft"
4822,"0hard/-62370soft"
4892,"0hard/-62339soft"
4940,"0hard/-62334soft"
5056,"0hard/-62172soft"
5080,"0hard/-62107soft"
5128,"0hard/-61998soft"
5251,"0hard/-61955soft"
5274,"0hard/-61954soft"
5300,"0hard/-61952soft"
5416,"0hard/-61939soft"
5441,"0hard/-61881soft"
5612,"0hard/-61842soft"
5663,"0hard/-61813soft"
5715,"0hard/-58463soft"
5820,"0hard/-58421soft"
5847,"0hard/-58289soft"
5874,"0hard/-58232soft"
5926,"0hard/-58211soft"
6009,"0hard/-58207soft"
6140,"0hard/-58132soft"
6192,"0hard/-58121soft"
6298,"0hard/-58048soft"
6326,"0hard/-58045soft"
6405,"0hard/-58035soft"
6431,"0hard/-57998soft"
6760,"0hard/-57967soft"
7753,"0hard/-57963soft"
8348,"0hard/-57914soft"
8478,"0hard/-57910soft"
8503,"0hard/-57878soft"
8582,"0hard/-57874soft"
8766,"0hard/-57860soft"
8891,"0hard/-57786soft"
9177,"0hard/-57780soft"
9380,"0hard/-57777soft"
9430,"0hard/-57772soft"
9484,"0hard/-57760soft"
9893,"0hard/-57710soft"
9944,"0hard/-57705soft"
