"timeMillisSpent","score"
16,"-7hard/-21499soft"
44,"-5hard/-23782soft"
72,"0hard/-23119soft"
103,"0hard/-23054soft"
134,"0hard/-22569soft"
167,"0hard/-22442soft"
207,"0hard/-22361soft"
248,"0hard/-22156soft"
282,"0hard/-21940soft"
314,"0hard/-21848soft"
348,"0hard/-21833soft"
380,"0hard/-21098soft"
415,"0hard/-20214soft"
445,"0hard/-20039soft"
476,"0hard/-19864soft"
504,"0hard/-19785soft"
530,"0hard/-19744soft"
557,"0hard/-19707soft"
583,"0hard/-19653soft"
617,"0hard/-19375soft"
720,"0hard/-19365soft"
754,"0hard/-19337soft"
787,"0hard/-19333soft"
819,"0hard/-19231soft"
849,"0hard/-19176soft"
905,"0hard/-19152soft"
959,"0hard/-19117soft"
1023,"0hard/-18851soft"
