"timeMillisSpent","score"
82,"-48hard/-32691soft"
124,"-33hard/-34260soft"
186,"-29hard/-33939soft"
255,"-21hard/-37289soft"
329,"-7hard/-39641soft"
417,"-5hard/-39641soft"
525,"-3hard/-39641soft"
590,"-1hard/-39122soft"
678,"-1hard/-38390soft"
752,"0hard/-38004soft"
811,"0hard/-37463soft"
867,"0hard/-37109soft"
917,"0hard/-36478soft"
957,"0hard/-36042soft"
1006,"0hard/-35742soft"
1046,"0hard/-35708soft"
1081,"0hard/-35558soft"
1117,"0hard/-35275soft"
1153,"0hard/-35262soft"
1189,"0hard/-35248soft"
1226,"0hard/-35134soft"
1269,"0hard/-35007soft"
1307,"0hard/-34914soft"
1346,"0hard/-34718soft"
1385,"0hard/-34376soft"
1423,"0hard/-34330soft"
1465,"0hard/-34156soft"
1508,"0hard/-33995soft"
1550,"0hard/-33924soft"
1589,"0hard/-33811soft"
1628,"0hard/-33683soft"
1665,"0hard/-33512soft"
1704,"0hard/-33334soft"
1748,"0hard/-33279soft"
1792,"0hard/-33221soft"
1835,"0hard/-33112soft"
1963,"0hard/-33088soft"
2003,"0hard/-33014soft"
2042,"0hard/-32855soft"
2085,"0hard/-32816soft"
2283,"0hard/-32711soft"
2367,"0hard/-32687soft"
2496,"0hard/-32628soft"
2538,"0hard/-32614soft"
2580,"0hard/-32503soft"
2872,"0hard/-32422soft"
