"timeMillisSpent","score"
511,"-153hard/-47159soft"
605,"-106hard/-53191soft"
727,"-92hard/-59604soft"
822,"-66hard/-66755soft"
939,"-50hard/-67278soft"
1075,"-40hard/-67278soft"
1188,"-35hard/-67278soft"
1269,"-32hard/-67466soft"
1342,"-22hard/-67466soft"
1392,"-20hard/-67466soft"
1437,"-16hard/-68398soft"
1485,"-14hard/-68865soft"
1536,"-13hard/-68764soft"
1583,"-12hard/-69642soft"
1628,"-11hard/-69879soft"
1675,"-9hard/-70273soft"
1718,"-9hard/-70071soft"
1767,"-9hard/-69879soft"
1814,"-9hard/-69805soft"
1909,"-8hard/-68378soft"
1962,"-1hard/-71945soft"
2012,"0hard/-73646soft"
2061,"0hard/-72940soft"
2107,"0hard/-72651soft"
2152,"0hard/-72307soft"
2202,"0hard/-71734soft"
2244,"0hard/-71465soft"
2291,"0hard/-71223soft"
2332,"0hard/-71007soft"
2378,"0hard/-70791soft"
2420,"0hard/-70747soft"
2465,"0hard/-70485soft"
2511,"0hard/-70304soft"
2556,"0hard/-70187soft"
2598,"0hard/-69985soft"
2642,"0hard/-69798soft"
2686,"0hard/-69612soft"
2728,"0hard/-69446soft"
2771,"0hard/-69316soft"
2813,"0hard/-69098soft"
2858,"0hard/-68969soft"
2903,"0hard/-68822soft"
2950,"0hard/-68746soft"
2993,"0hard/-68648soft"
3037,"0hard/-68572soft"
3078,"0hard/-68486soft"
3123,"0hard/-68443soft"
3170,"0hard/-68105soft"
3215,"0hard/-67808soft"
3268,"0hard/-67499soft"
3315,"0hard/-67306soft"
3363,"0hard/-67009soft"
3421,"0hard/-66960soft"
3476,"0hard/-66868soft"
3529,"0hard/-66817soft"
3578,"0hard/-66790soft"
3630,"0hard/-66706soft"
3674,"0hard/-66579soft"
3717,"0hard/-66487soft"
3760,"0hard/-65980soft"
3801,"0hard/-65894soft"
3842,"0hard/-65712soft"
3889,"0hard/-65632soft"
3936,"0hard/-65403soft"
3981,"0hard/-64810soft"
4021,"0hard/-64604soft"
4063,"0hard/-64599soft"
4105,"0hard/-64146soft"
4153,"0hard/-63808soft"
4207,"0hard/-60458soft"
4262,"0hard/-60266soft"
4314,"0hard/-59831soft"
4368,"0hard/-59605soft"
4423,"0hard/-59531soft"
4469,"0hard/-59412soft"
4558,"0hard/-59278soft"
4606,"0hard/-59172soft"
4649,"0hard/-59038soft"
4693,"0hard/-58877soft"
4740,"0hard/-58751soft"
4787,"0hard/-58710soft"
4879,"0hard/-58673soft"
4929,"0hard/-58605soft"
4981,"0hard/-58604soft"
