"timeMillisSpent","score"
22,"-5hard/-20527soft"
29,"-5hard/-20465soft"
30,"-4hard/-20924soft"
32,"-3hard/-22841soft"
32,"-3hard/-22834soft"
34,"0hard/-25373soft"
395,"0hard/-25254soft"
530,"0hard/-24696soft"
531,"0hard/-24329soft"
531,"0hard/-23855soft"
532,"0hard/-23833soft"
715,"0hard/-23768soft"
732,"0hard/-23535soft"
800,"0hard/-23324soft"
804,"0hard/-23203soft"
1203,"0hard/-22690soft"
1204,"0hard/-22544soft"
1329,"0hard/-22139soft"
1902,"0hard/-21873soft"
2254,"0hard/-21314soft"
3150,"0hard/-21256soft"
3150,"0hard/-21247soft"
3301,"0hard/-21063soft"
3302,"0hard/-20986soft"
3504,"0hard/-20742soft"
4233,"0hard/-20688soft"
4275,"0hard/-20659soft"
4751,"0hard/-20591soft"
4752,"0hard/-20563soft"
4779,"0hard/-20347soft"
4992,"0hard/-20211soft"
5310,"0hard/-20186soft"
5348,"0hard/-20181soft"
5357,"0hard/-20060soft"
5479,"0hard/-19989soft"
5554,"0hard/-19969soft"
5614,"0hard/-19925soft"
6021,"0hard/-19865soft"
6022,"0hard/-19525soft"
6211,"0hard/-19162soft"
7034,"0hard/-19160soft"
7302,"0hard/-19138soft"
7333,"0hard/-19128soft"
7413,"0hard/-19103soft"
7423,"0hard/-18995soft"
7977,"0hard/-18865soft"
9313,"0hard/-18822soft"
9640,"0hard/-18813soft"
9912,"0hard/-18781soft"
