"timeMillisSpent","score"
14,"-7hard/-21499soft"
19,"0hard/-25796soft"
20,"0hard/-25523soft"
21,"0hard/-25172soft"
21,"0hard/-24445soft"
23,"0hard/-24178soft"
24,"0hard/-23889soft"
25,"0hard/-23759soft"
56,"0hard/-23736soft"
57,"0hard/-22729soft"
72,"0hard/-22542soft"
72,"0hard/-22284soft"
75,"0hard/-22066soft"
210,"0hard/-21810soft"
287,"0hard/-21723soft"
516,"0hard/-21624soft"
550,"0hard/-21364soft"
668,"0hard/-21294soft"
2876,"0hard/-21250soft"
4187,"0hard/-21112soft"
8986,"0hard/-20929soft"
8988,"0hard/-20921soft"
8988,"0hard/-20877soft"
8990,"0hard/-20683soft"
8991,"0hard/-20514soft"
8992,"0hard/-20430soft"
8992,"0hard/-20295soft"
8994,"0hard/-20242soft"
