"timeMillisSpent","score"
7926,"-423hard/-90776soft"
8245,"-374hard/-96628soft"
8502,"-317hard/-103704soft"
8747,"-267hard/-108715soft"
9002,"-246hard/-110807soft"
9266,"-205hard/-117329soft"
9566,"-192hard/-120362soft"
9791,"-156hard/-127379soft"
9948,"-146hard/-127379soft"
10085,"-135hard/-127379soft"
10203,"-125hard/-127379soft"
10293,"-116hard/-127634soft"
10383,"-113hard/-127591soft"
10462,"-104hard/-127591soft"
10539,"-102hard/-128341soft"
10620,"-87hard/-133958soft"
10700,"-81hard/-134335soft"
10788,"-76hard/-136192soft"
10868,"-74hard/-136192soft"
10957,"-69hard/-142835soft"
11037,"-62hard/-143847soft"
11107,"-57hard/-149247soft"
11174,"-52hard/-151332soft"
11237,"-43hard/-151332soft"
11305,"-30hard/-151432soft"
11371,"-21hard/-151951soft"
11433,"-19hard/-152622soft"
11490,"-16hard/-152941soft"
11548,"-15hard/-153341soft"
11612,"-13hard/-151437soft"
11674,"-11hard/-151437soft"
11726,"-10hard/-151848soft"
11777,"-9hard/-151848soft"
11829,"-8hard/-151848soft"
11877,"-8hard/-151844soft"
11928,"-7hard/-151857soft"
11985,"-5hard/-151857soft"
12037,"-3hard/-151857soft"
12093,"-3hard/-151795soft"
12147,"-2hard/-152644soft"
12200,"-2hard/-152544soft"
12250,"-2hard/-150992soft"
12301,"-2hard/-150496soft"
12354,"-2hard/-150401soft"
12408,"-1hard/-150315soft"
12459,"-1hard/-150133soft"
12512,"-1hard/-149902soft"
12562,"-1hard/-149801soft"
12612,"-1hard/-149644soft"
12665,"-1hard/-149491soft"
12717,"-1hard/-149408soft"
12768,"-1hard/-148507soft"
12820,"-1hard/-147738soft"
12919,"-1hard/-147512soft"
12973,"-1hard/-147386soft"
13023,"-1hard/-147252soft"
13129,"-1hard/-146740soft"
13180,"-1hard/-146562soft"
13232,"0hard/-147630soft"
13291,"0hard/-147553soft"
13365,"0hard/-147343soft"
13424,"0hard/-147300soft"
13484,"0hard/-146349soft"
13549,"0hard/-146174soft"
13619,"0hard/-146037soft"
13673,"0hard/-145945soft"
13727,"0hard/-145541soft"
13780,"0hard/-145466soft"
13834,"0hard/-145148soft"
13883,"0hard/-145095soft"
13937,"0hard/-144801soft"
13989,"0hard/-144723soft"
14042,"0hard/-144347soft"
14094,"0hard/-144345soft"
14196,"0hard/-144078soft"
14244,"0hard/-143999soft"
14296,"0hard/-143304soft"
14347,"0hard/-143201soft"
14403,"0hard/-142706soft"
14457,"0hard/-142433soft"
14508,"0hard/-142432soft"
14560,"0hard/-142343soft"
14614,"0hard/-142176soft"
14669,"0hard/-142123soft"
14769,"0hard/-142083soft"
14821,"0hard/-142035soft"
14875,"0hard/-141997soft"
14928,"0hard/-141894soft"
15038,"0hard/-141546soft"
15091,"0hard/-141439soft"
15140,"0hard/-141364soft"
15191,"0hard/-141342soft"
15240,"0hard/-141272soft"
15294,"0hard/-141182soft"
15346,"0hard/-141175soft"
15404,"0hard/-141150soft"
15454,"0hard/-140925soft"
15557,"0hard/-140888soft"
15716,"0hard/-140871soft"
15766,"0hard/-140831soft"
15819,"0hard/-140703soft"
15874,"0hard/-140524soft"
15927,"0hard/-140508soft"
15976,"0hard/-140424soft"
16078,"0hard/-140420soft"
16130,"0hard/-140348soft"
16176,"0hard/-140113soft"
16228,"0hard/-139923soft"
16278,"0hard/-139770soft"
16332,"0hard/-139723soft"
16392,"0hard/-139647soft"
16446,"0hard/-139558soft"
16498,"0hard/-139399soft"
16601,"0hard/-139393soft"
16650,"0hard/-139141soft"
16701,"0hard/-139108soft"
16805,"0hard/-139066soft"
16856,"0hard/-139064soft"
16960,"0hard/-139059soft"
17021,"0hard/-138922soft"
17071,"0hard/-138843soft"
17123,"0hard/-138710soft"
17278,"0hard/-138428soft"
17327,"0hard/-138328soft"
17378,"0hard/-138303soft"
17431,"0hard/-138302soft"
17483,"0hard/-138196soft"
17534,"0hard/-138183soft"
17645,"0hard/-138157soft"
17694,"0hard/-138077soft"
17743,"0hard/-138043soft"
17796,"0hard/-137968soft"
17898,"0hard/-137949soft"
17947,"0hard/-137916soft"
17998,"0hard/-137581soft"
18099,"0hard/-137537soft"
18200,"0hard/-137381soft"
18251,"0hard/-137359soft"
18304,"0hard/-137358soft"
18355,"0hard/-137357soft"
18408,"0hard/-137227soft"
18511,"0hard/-137040soft"
18563,"0hard/-137011soft"
18615,"0hard/-136931soft"
18665,"0hard/-136913soft"
18713,"0hard/-136881soft"
18766,"0hard/-136706soft"
18868,"0hard/-136567soft"
18916,"0hard/-136503soft"
19014,"0hard/-136496soft"
19062,"0hard/-136470soft"
19115,"0hard/-136407soft"
19166,"0hard/-136350soft"
19221,"0hard/-136236soft"
19531,"0hard/-136168soft"
19787,"0hard/-136061soft"
19886,"0hard/-135974soft"
19937,"0hard/-135894soft"
20000,"0hard/-135682soft"
