"timeMillisSpent","score"
478,"-153hard/-47159soft"
572,"-106hard/-53191soft"
692,"-92hard/-59604soft"
787,"-66hard/-66755soft"
893,"-50hard/-67278soft"
1014,"-40hard/-67278soft"
1130,"-35hard/-67278soft"
1214,"-32hard/-67466soft"
1288,"-22hard/-67466soft"
1339,"-20hard/-67466soft"
1386,"-16hard/-68398soft"
1436,"-14hard/-68865soft"
1487,"-13hard/-68764soft"
1536,"-12hard/-69642soft"
1583,"-11hard/-69879soft"
1631,"-9hard/-70273soft"
1676,"-9hard/-70071soft"
1724,"-9hard/-69879soft"
1773,"-9hard/-69805soft"
1868,"-8hard/-68378soft"
1922,"-1hard/-71945soft"
1975,"0hard/-73646soft"
2024,"0hard/-72940soft"
2072,"0hard/-72651soft"
2117,"0hard/-72307soft"
2169,"0hard/-71734soft"
2214,"0hard/-71465soft"
2262,"0hard/-71223soft"
2303,"0hard/-71007soft"
2350,"0hard/-70791soft"
2394,"0hard/-70747soft"
2439,"0hard/-70485soft"
2487,"0hard/-70304soft"
2534,"0hard/-70187soft"
2579,"0hard/-69985soft"
2625,"0hard/-69798soft"
2669,"0hard/-69612soft"
2713,"0hard/-69446soft"
2756,"0hard/-69316soft"
2800,"0hard/-69098soft"
2845,"0hard/-68969soft"
2892,"0hard/-68822soft"
2940,"0hard/-68746soft"
2984,"0hard/-68648soft"
3029,"0hard/-68572soft"
3071,"0hard/-68486soft"
3117,"0hard/-68443soft"
3165,"0hard/-68105soft"
3211,"0hard/-67808soft"
3265,"0hard/-67499soft"
3312,"0hard/-67306soft"
3362,"0hard/-67009soft"
3422,"0hard/-66960soft"
3479,"0hard/-66868soft"
3531,"0hard/-66817soft"
3582,"0hard/-66790soft"
3634,"0hard/-66706soft"
3679,"0hard/-66579soft"
3723,"0hard/-66487soft"
3766,"0hard/-65980soft"
3808,"0hard/-65894soft"
3850,"0hard/-65712soft"
3897,"0hard/-65632soft"
3942,"0hard/-65403soft"
3988,"0hard/-64810soft"
4028,"0hard/-64604soft"
4071,"0hard/-64599soft"
4114,"0hard/-64146soft"
4162,"0hard/-63808soft"
4216,"0hard/-60458soft"
4272,"0hard/-60266soft"
4326,"0hard/-59831soft"
4381,"0hard/-59605soft"
4437,"0hard/-59531soft"
4483,"0hard/-59412soft"
4573,"0hard/-59278soft"
4622,"0hard/-59172soft"
4667,"0hard/-59038soft"
4712,"0hard/-58877soft"
4761,"0hard/-58751soft"
4807,"0hard/-58710soft"
4902,"0hard/-58673soft"
4952,"0hard/-58605soft"
5000,"0hard/-58604soft"
