"timeMillisSpent","score"
104,"-49hard/-33156soft"
155,"-31hard/-40228soft"
205,"-21hard/-40228soft"
252,"-14hard/-43455soft"
325,"-11hard/-43316soft"
408,"-9hard/-43316soft"
493,"-7hard/-43316soft"
541,"-7hard/-42575soft"
586,"-7hard/-42289soft"
625,"-7hard/-41397soft"
673,"-5hard/-40714soft"
714,"-4hard/-40554soft"
758,"-2hard/-40521soft"
806,"-2hard/-40216soft"
854,"-1hard/-40201soft"
892,"-1hard/-40190soft"
934,"-1hard/-40046soft"
978,"-1hard/-39896soft"
1024,"-1hard/-39718soft"
1066,"-1hard/-39529soft"
1104,"-1hard/-39146soft"
1149,"-1hard/-38669soft"
1195,"-1hard/-38445soft"
1242,"-1hard/-38328soft"
1284,"-1hard/-38214soft"
1332,"-1hard/-37949soft"
1380,"-1hard/-37443soft"
1432,"0hard/-38223soft"
1485,"0hard/-38044soft"
1534,"0hard/-37925soft"
1584,"0hard/-37828soft"
1626,"0hard/-37612soft"
1667,"0hard/-37443soft"
1705,"0hard/-37339soft"
1754,"0hard/-37260soft"
1809,"0hard/-37246soft"
1857,"0hard/-37188soft"
1909,"0hard/-36923soft"
1956,"0hard/-36883soft"
1999,"0hard/-36575soft"
2036,"0hard/-36457soft"
2077,"0hard/-36267soft"
2118,"0hard/-36195soft"
2201,"0hard/-35957soft"
2239,"0hard/-35865soft"
2281,"0hard/-35835soft"
2372,"0hard/-35636soft"
2424,"0hard/-35591soft"
2479,"0hard/-35260soft"
2530,"0hard/-35137soft"
2583,"0hard/-35109soft"
2636,"0hard/-35004soft"
2680,"0hard/-34759soft"
2729,"0hard/-34681soft"
2792,"0hard/-34556soft"
2910,"0hard/-34535soft"
2958,"0hard/-34418soft"
3044,"0hard/-34396soft"
3127,"0hard/-34395soft"
3210,"0hard/-34312soft"
3753,"0hard/-34269soft"
3868,"0hard/-34163soft"
3999,"0hard/-34141soft"
4283,"0hard/-34134soft"
4316,"0hard/-34133soft"
4479,"0hard/-34119soft"
4523,"0hard/-34097soft"
4563,"0hard/-34074soft"
4682,"0hard/-34073soft"
4834,"0hard/-34062soft"
5030,"0hard/-34057soft"
5501,"0hard/-33997soft"
6446,"0hard/-33996soft"
7323,"0hard/-33470soft"
7401,"0hard/-33382soft"
7644,"0hard/-33255soft"
7730,"0hard/-33009soft"
7853,"0hard/-32996soft"
7892,"0hard/-32993soft"
8017,"0hard/-32817soft"
8096,"0hard/-32804soft"
8137,"0hard/-32772soft"
8175,"0hard/-32771soft"
8216,"0hard/-32661soft"
8493,"0hard/-32653soft"
8568,"0hard/-32649soft"
8678,"0hard/-32614soft"
8759,"0hard/-32608soft"
8794,"0hard/-32596soft"
8830,"0hard/-32514soft"
8864,"0hard/-32335soft"
8903,"0hard/-32255soft"
8941,"0hard/-32180soft"
9018,"0hard/-32154soft"
9309,"0hard/-32144soft"
