"timeMillisSpent","score"
96,"-48hard/-32691soft"
140,"-33hard/-34260soft"
206,"-29hard/-33939soft"
274,"-21hard/-37289soft"
344,"-7hard/-39641soft"
433,"-5hard/-39641soft"
552,"-3hard/-39641soft"
617,"-1hard/-39122soft"
703,"-1hard/-38390soft"
777,"0hard/-38004soft"
841,"0hard/-37463soft"
901,"0hard/-37109soft"
953,"0hard/-36478soft"
994,"0hard/-36042soft"
1033,"0hard/-35742soft"
1075,"0hard/-35708soft"
1110,"0hard/-35558soft"
1146,"0hard/-35275soft"
1181,"0hard/-35262soft"
1216,"0hard/-35248soft"
1252,"0hard/-35134soft"
1289,"0hard/-35007soft"
1325,"0hard/-34914soft"
1361,"0hard/-34718soft"
1398,"0hard/-34376soft"
1433,"0hard/-34330soft"
1473,"0hard/-34156soft"
1514,"0hard/-33995soft"
1554,"0hard/-33924soft"
1593,"0hard/-33811soft"
1632,"0hard/-33683soft"
1669,"0hard/-33512soft"
1708,"0hard/-33334soft"
1751,"0hard/-33279soft"
1795,"0hard/-33221soft"
1840,"0hard/-33112soft"
1972,"0hard/-33088soft"
2011,"0hard/-33014soft"
2052,"0hard/-32855soft"
2095,"0hard/-32816soft"
2297,"0hard/-32711soft"
2385,"0hard/-32687soft"
2516,"0hard/-32628soft"
2559,"0hard/-32614soft"
2601,"0hard/-32503soft"
2902,"0hard/-32422soft"
3104,"0hard/-32389soft"
3139,"0hard/-32346soft"
3178,"0hard/-32310soft"
3270,"0hard/-32297soft"
3314,"0hard/-32215soft"
3442,"0hard/-32188soft"
3478,"0hard/-32162soft"
3552,"0hard/-32153soft"
3723,"0hard/-31899soft"
3887,"0hard/-31757soft"
4413,"0hard/-31750soft"
4488,"0hard/-31737soft"
4886,"0hard/-31703soft"
4932,"0hard/-31699soft"
