"timeMillisSpent","score"
499,"-142hard/-46606soft"
512,"-136hard/-58728soft"
514,"-127hard/-60562soft"
517,"-125hard/-64046soft"
523,"-124hard/-65474soft"
525,"-124hard/-64876soft"
526,"-116hard/-64876soft"
528,"-109hard/-65269soft"
530,"-107hard/-65150soft"
537,"-83hard/-71861soft"
539,"-83hard/-71847soft"
540,"-82hard/-73020soft"
542,"-82hard/-72979soft"
548,"-81hard/-73702soft"
551,"-80hard/-76203soft"
580,"-74hard/-78913soft"
582,"-73hard/-79773soft"
655,"-66hard/-93399soft"
656,"-65hard/-96749soft"
657,"-65hard/-95223soft"
663,"-59hard/-98821soft"
665,"-57hard/-98177soft"
672,"-49hard/-98051soft"
674,"-49hard/-97567soft"
675,"-48hard/-99029soft"
677,"-47hard/-99029soft"
679,"-41hard/-99774soft"
680,"-39hard/-98140soft"
681,"-38hard/-97850soft"
684,"-37hard/-97447soft"
685,"-37hard/-97243soft"
686,"-37hard/-96514soft"
690,"-37hard/-96279soft"
691,"-37hard/-95888soft"
693,"-34hard/-95598soft"
694,"-34hard/-95147soft"
696,"-34hard/-94370soft"
697,"-33hard/-95169soft"
698,"-33hard/-95148soft"
700,"-31hard/-95340soft"
702,"-31hard/-95181soft"
704,"-31hard/-94882soft"
704,"-30hard/-95055soft"
706,"-18hard/-96658soft"
710,"-18hard/-96352soft"
710,"-18hard/-95819soft"
715,"-18hard/-94930soft"
723,"-16hard/-96373soft"
728,"-14hard/-96093soft"
730,"-13hard/-96313soft"
850,"-11hard/-96652soft"
851,"-11hard/-96495soft"
855,"-11hard/-96307soft"
856,"-11hard/-95890soft"
856,"-11hard/-95470soft"
859,"-10hard/-95978soft"
921,"-10hard/-94728soft"
922,"-10hard/-94141soft"
2160,"-9hard/-95392soft"
2605,"-9hard/-92934soft"
2607,"-6hard/-91345soft"
2618,"-2hard/-90536soft"
2620,"-2hard/-90491soft"
2621,"-1hard/-90264soft"
5276,"0hard/-88374soft"
