"timeMillisSpent","score"
107,"-49hard/-33156soft"
196,"-31hard/-40228soft"
289,"-21hard/-40228soft"
382,"-14hard/-43934soft"
504,"-10hard/-43934soft"
652,"-9hard/-45653soft"
799,"-8hard/-44048soft"
960,"-8hard/-43054soft"
1134,"-6hard/-42071soft"
1295,"-4hard/-41877soft"
1467,"-2hard/-42671soft"
1651,"-2hard/-41743soft"
1763,"-2hard/-41190soft"
1881,"-2hard/-41064soft"
1982,"-2hard/-40770soft"
2097,"-2hard/-40295soft"
2216,"-2hard/-40136soft"
2333,"-2hard/-39776soft"
2471,"-1hard/-39884soft"
2602,"-1hard/-39558soft"
2727,"-1hard/-39260soft"
2870,"-1hard/-38783soft"
3002,"0hard/-38807soft"
3126,"0hard/-38562soft"
3261,"0hard/-38276soft"
3373,"0hard/-38118soft"
3480,"0hard/-37800soft"
3585,"0hard/-37672soft"
3678,"0hard/-37521soft"
3793,"0hard/-37473soft"
3887,"0hard/-37178soft"
3972,"0hard/-37037soft"
4065,"0hard/-36990soft"
4162,"0hard/-36962soft"
4263,"0hard/-36807soft"
4365,"0hard/-36769soft"
4470,"0hard/-36633soft"
4701,"0hard/-36533soft"
4823,"0hard/-36429soft"
4932,"0hard/-36345soft"
5051,"0hard/-36317soft"
5164,"0hard/-36215soft"
5278,"0hard/-36214soft"
5389,"0hard/-36151soft"
5492,"0hard/-36133soft"
5600,"0hard/-36119soft"
5717,"0hard/-36070soft"
5908,"0hard/-35969soft"
6015,"0hard/-35964soft"
6129,"0hard/-35845soft"
6249,"0hard/-35735soft"
6368,"0hard/-35473soft"
6592,"0hard/-35376soft"
6708,"0hard/-35334soft"
6826,"0hard/-35263soft"
6952,"0hard/-35201soft"
7265,"0hard/-35179soft"
7363,"0hard/-35148soft"
7455,"0hard/-34908soft"
7548,"0hard/-34907soft"
7644,"0hard/-33973soft"
7738,"0hard/-33882soft"
7830,"0hard/-33870soft"
7933,"0hard/-33788soft"
8028,"0hard/-33714soft"
8121,"0hard/-33639soft"
8215,"0hard/-33609soft"
8306,"0hard/-33599soft"
8409,"0hard/-33579soft"
8509,"0hard/-33543soft"
8608,"0hard/-33467soft"
8982,"0hard/-33424soft"
9089,"0hard/-33359soft"
9195,"0hard/-33353soft"
9795,"0hard/-33265soft"
9897,"0hard/-33264soft"
