"timeMillisSpent","score"
83,"-48hard/-32691soft"
108,"-33hard/-34260soft"
146,"-15hard/-37610soft"
195,"-9hard/-39817soft"
248,"-6hard/-41816soft"
274,"-4hard/-42445soft"
298,"-3hard/-42176soft"
320,"-3hard/-41915soft"
344,"-3hard/-41300soft"
368,"-3hard/-40680soft"
390,"-3hard/-40676soft"
411,"0hard/-38392soft"
433,"0hard/-38254soft"
456,"0hard/-38166soft"
478,"0hard/-37913soft"
524,"0hard/-37808soft"
545,"0hard/-37598soft"
565,"0hard/-37194soft"
611,"0hard/-37038soft"
633,"0hard/-37005soft"
652,"0hard/-36934soft"
674,"0hard/-36880soft"
695,"0hard/-36853soft"
718,"0hard/-36764soft"
741,"0hard/-36753soft"
765,"0hard/-36467soft"
788,"0hard/-36435soft"
811,"0hard/-36247soft"
834,"0hard/-36127soft"
855,"0hard/-36092soft"
897,"0hard/-36058soft"
946,"0hard/-35580soft"
966,"0hard/-35457soft"
1015,"0hard/-35433soft"
1037,"0hard/-35427soft"
1055,"0hard/-35273soft"
1077,"0hard/-35063soft"
1098,"0hard/-34938soft"
1119,"0hard/-34779soft"
1140,"0hard/-34638soft"
1163,"0hard/-34584soft"
1190,"0hard/-34578soft"
1213,"0hard/-34478soft"
1239,"0hard/-34375soft"
1263,"0hard/-34334soft"
1284,"0hard/-34215soft"
1327,"0hard/-34174soft"
1370,"0hard/-33916soft"
1392,"0hard/-33867soft"
1478,"0hard/-33705soft"
1607,"0hard/-33690soft"
1707,"0hard/-33536soft"
1773,"0hard/-33532soft"
1839,"0hard/-33524soft"
1946,"0hard/-33474soft"
1986,"0hard/-33454soft"
2010,"0hard/-33402soft"
2032,"0hard/-33308soft"
2113,"0hard/-33282soft"
2157,"0hard/-33269soft"
2179,"0hard/-33268soft"
2203,"0hard/-33231soft"
2290,"0hard/-33148soft"
2311,"0hard/-33016soft"
2353,"0hard/-32895soft"
2441,"0hard/-32389soft"
2461,"0hard/-32254soft"
2560,"0hard/-32244soft"
2580,"0hard/-32069soft"
2696,"0hard/-32025soft"
2716,"0hard/-32007soft"
2738,"0hard/-31964soft"
2781,"0hard/-31930soft"
2847,"0hard/-31865soft"
2889,"0hard/-31804soft"
2993,"0hard/-31724soft"
3056,"0hard/-31688soft"
3163,"0hard/-31676soft"
3799,"0hard/-31543soft"
3819,"0hard/-31352soft"
3861,"0hard/-31229soft"
3924,"0hard/-31220soft"
3992,"0hard/-31156soft"
4014,"0hard/-31155soft"
4402,"0hard/-31135soft"
4734,"0hard/-31133soft"
