"timeMillisSpent","score"
91,"-48hard/-32691soft"
95,"-47hard/-35527soft"
132,"-41hard/-50113soft"
145,"-40hard/-61434soft"
146,"-35hard/-61434soft"
146,"-34hard/-62652soft"
221,"-34hard/-59685soft"
278,"-32hard/-59329soft"
294,"-31hard/-60924soft"
295,"-31hard/-60828soft"
362,"-29hard/-61793soft"
372,"-29hard/-59752soft"
372,"-29hard/-59613soft"
379,"-29hard/-57849soft"
379,"-27hard/-57279soft"
453,"-26hard/-62196soft"
475,"-23hard/-55000soft"
668,"-20hard/-55230soft"
668,"-20hard/-54822soft"
873,"-20hard/-54110soft"
921,"-19hard/-54813soft"
981,"-18hard/-52341soft"
1009,"-18hard/-52158soft"
1043,"-17hard/-52025soft"
1219,"-17hard/-49283soft"
1469,"-15hard/-51606soft"
1469,"-14hard/-50698soft"
1470,"-14hard/-49947soft"
1776,"-14hard/-49744soft"
1778,"-14hard/-49578soft"
1844,"-13hard/-51247soft"
1929,"-13hard/-50474soft"
1931,"-13hard/-49779soft"
1991,"-13hard/-49645soft"
1991,"-13hard/-49516soft"
1991,"-13hard/-49035soft"
2139,"-13hard/-48589soft"
2151,"-12hard/-46932soft"
2151,"-12hard/-46905soft"
2210,"-11hard/-49763soft"
2251,"-11hard/-49575soft"
2411,"-11hard/-48690soft"
2575,"-11hard/-48535soft"
2576,"-10hard/-49380soft"
2587,"-10hard/-48308soft"
2647,"-10hard/-47158soft"
2655,"-10hard/-46749soft"
2907,"-9hard/-47659soft"
2908,"-9hard/-47286soft"
2953,"-9hard/-46545soft"
