"timeMillisSpent","score"
5615,"-423hard/-90776soft"
5793,"-406hard/-92036soft"
6062,"-355hard/-98799soft"
6234,"-308hard/-104888soft"
6410,"-262hard/-110989soft"
6512,"-253hard/-112317soft"
6622,"-233hard/-115172soft"
6706,"-227hard/-121038soft"
6769,"-220hard/-121168soft"
6829,"-202hard/-128323soft"
6881,"-189hard/-130536soft"
6935,"-183hard/-136497soft"
6984,"-181hard/-136751soft"
7030,"-176hard/-138068soft"
7074,"-169hard/-140260soft"
7125,"-163hard/-141882soft"
7175,"-153hard/-141882soft"
7217,"-151hard/-142535soft"
7258,"-146hard/-142535soft"
7298,"-141hard/-145885soft"
7336,"-131hard/-147145soft"
7374,"-99hard/-149460soft"
7410,"-94hard/-149572soft"
7445,"-93hard/-149571soft"
7483,"-91hard/-149395soft"
7519,"-80hard/-149395soft"
7550,"-77hard/-150007soft"
7586,"-74hard/-149595soft"
7620,"-73hard/-148020soft"
7657,"-72hard/-148020soft"
7690,"-61hard/-148020soft"
7723,"-60hard/-148912soft"
7757,"-58hard/-149096soft"
7791,"-52hard/-152446soft"
7824,"-42hard/-152446soft"
7858,"-41hard/-152327soft"
7891,"-34hard/-154155soft"
7920,"-32hard/-153686soft"
7951,"-31hard/-153686soft"
7981,"-30hard/-153505soft"
8013,"-29hard/-153505soft"
8045,"-23hard/-156577soft"
8078,"-22hard/-156577soft"
8108,"-22hard/-156469soft"
8139,"-22hard/-156396soft"
8170,"-21hard/-156396soft"
8201,"-20hard/-156894soft"
8230,"-18hard/-156894soft"
8264,"-18hard/-155998soft"
8293,"-18hard/-155251soft"
8322,"-17hard/-155484soft"
8352,"-17hard/-155157soft"
8382,"-17hard/-154159soft"
8412,"-16hard/-154866soft"
8471,"-16hard/-154803soft"
8502,"-16hard/-153788soft"
8530,"-15hard/-155074soft"
8589,"-15hard/-155011soft"
8616,"-13hard/-156158soft"
8645,"-11hard/-156158soft"
8677,"-10hard/-156158soft"
8735,"-10hard/-155979soft"
8764,"-10hard/-155898soft"
8793,"-10hard/-155793soft"
8821,"-10hard/-155065soft"
8852,"-10hard/-155034soft"
